,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,1365000000.0,15487000000.0,122255000000.0,124349000000.0,630000000.0,18665000000.0,247234000000.0,13150000000.0,643000000.0,99959000000.0,5885000000.0,694000000.0,-4247000000.0,3993000000.0,17884000000.0,78527000000.0,3992000000.0,1370000000.0,154615000000.0,80641000000.0,5926000000.0,122290000000.0,39719000000.0,36966000000.0,22395000000.0,21184000000.0
2020-03-31,1482000000.0,15864000000.0,123197000000.0,118733000000.0,567000000.0,15792000000.0,242497000000.0,13150000000.0,546000000.0,94157000000.0,5284000000.0,974000000.0,-4438000000.0,3652000000.0,20288000000.0,79569000000.0,3650000000.0,657000000.0,151289000000.0,80322000000.0,4778000000.0,116277000000.0,37073000000.0,36760000000.0,22415000000.0,19309000000.0
2019-03-31,1347000000.0,15864000000.0,137135000000.0,111754000000.0,443000000.0,17291000000.0,249332000000.0,13150000000.0,575000000.0,86728000000.0,5203000000.0,1255000000.0,-3988000000.0,3226000000.0,19151000000.0,76854000000.0,3224000000.0,1106000000.0,153298000000.0,84647000000.0,5559000000.0,109152000000.0,42384000000.0,52455000000.0,22537000000.0,20954000000.0
2018-03-31,1178000000.0,15860000000.0,137980000000.0,105837000000.0,381000000.0,18128000000.0,244198000000.0,13150000000.0,2254000000.0,80175000000.0,4142000000.0,1106000000.0,-3348000000.0,826000000.0,15659000000.0,77174000000.0,824000000.0,1745000000.0,153839000000.0,81122000000.0,6127000000.0,103553000000.0,41274000000.0,52401000000.0,21935000000.0,21560000000.0
