,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2021-03-31,162540000000.0,147128000000.0,3569989000000.0,1469657000000.0,188358000000.0,258926000000.0,5228004000000.0,64936000000.0,160452000000.0,1125326000000.0,349318000000.0,132267000000.0,110055000000.0,677478000000.0,2148720000000.0,19770000000.0,571542000000.0,136027000000.0,840629000000.0,3223000000000.0,891780000000.0,1307117000000.0,139373000000.0,1404988000000.0,1071951000000.0,840709000000.0,1318252000000.0,
2020-03-31,87551000000.0,149807000000.0,3172719000000.0,1196635000000.0,175856000000.0,234773000000.0,4545210000000.0,64936000000.0,138703000000.0,1025429000000.0,186876000000.0,-43537000000.0,19449000000.0,496372000000.0,1878280000000.0,19443000000.0,125181000000.0,-39802000000.0,780826000000.0,2818293000000.0,765535000000.0,1035528000000.0,147467000000.0,1252145000000.0,1107563000000.0,783606000000.0,1140522000000.0,73556000000.0
2019-03-31,88040000000.0,150933000000.0,3051849000000.0,1195826000000.0,193789000000.0,180294000000.0,4441464000000.0,64936000000.0,133766000000.0,933159000000.0,166369000000.0,46798000000.0,15977000000.0,465861000000.0,1890057000000.0,15973000000.0,88662000000.0,50394000000.0,612587000000.0,2803246000000.0,852376000000.0,1038548000000.0,60525000000.0,1397937000000.0,995423000000.0,745157000000.0,1199839000000.0,69238000000.0
2018-03-31,95866000000.0,150921000000.0,2947857000000.0,1174718000000.0,187468000000.0,179792000000.0,4310043000000.0,64936000000.0,127454000000.0,832495000000.0,194999000000.0,126366000000.0,24563000000.0,423426000000.0,1821786000000.0,24559000000.0,91545000000.0,129944000000.0,590324000000.0,2616986000000.0,911476000000.0,1008024000000.0,67919000000.0,1342038000000.0,931072000000.0,656149000000.0,1098589000000.0,70828000000.0
