,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,17235000000.0,173794000000.0,509040000000.0,735430000000.0,10143000000.0,233000000.0,71740000000.0,1254613000000.0,146200000000.0,39726000000.0,346693000000.0,140126000000.0,811000000.0,68743000000.0,12787000000.0,76126000000.0,166085000000.0,12553000000.0,72740000000.0,436024000000.0,424033000000.0,363723000000.0,717384000000.0,97536000000.0,109482000000.0,202829000000.0,101163000000.0,53350000000.0
2019-03-31,17112000000.0,173680000000.0,547137000000.0,729354000000.0,13993000000.0,558000000.0,85452000000.0,1290484000000.0,146200000000.0,38180000000.0,315956000000.0,179292000000.0,923000000.0,93518000000.0,20597000000.0,75655000000.0,190782000000.0,20036000000.0,97326000000.0,438197000000.0,407606000000.0,406049000000.0,711319000000.0,107300000000.0,112279000000.0,177063000000.0,74192000000.0,63014000000.0
2018-03-31,32953000000.0,173676000000.0,527827000000.0,706543000000.0,15189000000.0,328000000.0,78402000000.0,1249559000000.0,146200000000.0,43186000000.0,306997000000.0,178034000000.0,1145000000.0,79670000000.0,16155000000.0,85017000000.0,186281000000.0,15826000000.0,89024000000.0,416290000000.0,403903000000.0,379113000000.0,672445000000.0,83602000000.0,113518000000.0,163512000000.0,78580000000.0,58820000000.0
2017-03-31,31448000000.0,173673000000.0,503137000000.0,667843000000.0,14219000000.0,82000000.0,85872000000.0,1185199000000.0,146200000000.0,38730000000.0,290788000000.0,170643000000.0,1433000000.0,57182000000.0,16482000000.0,64081000000.0,172333000000.0,16398000000.0,67430000000.0,402656000000.0,392133000000.0,341047000000.0,634962000000.0,98755000000.0,111939000000.0,160161000000.0,78628000000.0,56629000000.0
