,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments
2020-12-31,1000000.0,2185000000.0,80079000000.0,7656000000.0,37000000.0,88129000000.0,1141000000.0,3839000000.0,9623000000.0,296000000.0,635000000.0,-5293000000.0,51428000000.0,15632000000.0,73771000000.0,168000000.0,765000000.0,20080000000.0,15220000000.0,7020000000.0,5728000000.0,9000000.0,72869000000.0,,
2019-12-31,4000000.0,2174000000.0,66075000000.0,7327000000.0,40000000.0,73402000000.0,1141000000.0,4048000000.0,9538000000.0,266000000.0,635000000.0,-5526000000.0,49817000000.0,5232000000.0,58847000000.0,-235000000.0,786000000.0,9534000000.0,12626000000.0,6688000000.0,6595000000.0,11000000.0,57295000000.0,674000000.0,
2018-12-31,6000000.0,2148000000.0,63311000000.0,7507000000.0,41000000.0,70818000000.0,1141000000.0,3846000000.0,8781000000.0,241000000.0,635000000.0,-4563000000.0,49577000000.0,3962000000.0,56955000000.0,-609000000.0,475000000.0,7865000000.0,12260000000.0,6866000000.0,6115000000.0,1000000.0,55561000000.0,348000000.0,3171000000.0
2017-12-31,8000000.0,2122000000.0,63604000000.0,7963000000.0,40000000.0,71567000000.0,1141000000.0,4156000000.0,7887000000.0,264000000.0,635000000.0,-3187000000.0,48546000000.0,5273000000.0,58718000000.0,-451000000.0,466000000.0,9576000000.0,12336000000.0,7320000000.0,4622000000.0,5000000.0,57903000000.0,,
