,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Capital Surplus
2020-03-31,40118000000.0,111345000000.0,712076000000.0,29630000000.0,25332000000.0,853051000000.0,30000000000.0,9337000000.0,699412000000.0,44889000000.0,169862000000.0,-17336000000.0,11136000000.0,223814000000.0,66456000000.0,11134000000.0,18118000000.0,112555000000.0,355623000000.0,163757000000.0,502096000000.0,14089000000.0,65014000000.0,43369000000.0,18045000000.0,
2019-03-31,11768000000.0,97647000000.0,712970000000.0,11165000000.0,26197000000.0,821782000000.0,30000000000.0,10666000000.0,706742000000.0,39194000000.0,12534000000.0,-38696000000.0,9365000000.0,282567000000.0,58453000000.0,9365000000.0,29945000000.0,91283000000.0,469781000000.0,227051000000.0,688668000000.0,75900000000.0,71132000000.0,29516000000.0,18814000000.0,14924000000.0
2018-03-31,15769000000.0,108841000000.0,675229000000.0,16087000000.0,25817000000.0,800157000000.0,30000000000.0,10428000000.0,666920000000.0,48523000000.0,15347000000.0,-36962000000.0,6363000000.0,219973000000.0,60318000000.0,6362000000.0,31574000000.0,93716000000.0,362146000000.0,306816000000.0,644113000000.0,29739000000.0,75163000000.0,26843000000.0,19939000000.0,15271000000.0
2017-03-31,17604000000.0,106136000000.0,649936000000.0,15150000000.0,20919000000.0,771222000000.0,30000000000.0,10722000000.0,644038000000.0,48039000000.0,16768000000.0,-39374000000.0,6785000000.0,201275000000.0,58097000000.0,6783000000.0,28353000000.0,97282000000.0,308946000000.0,323837000000.0,615564000000.0,,69450000000.0,27499000000.0,23327000000.0,15272000000.0
