,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable
2020-03-31,289144000000.0,4084763000000.0,273481676000000.0,10934151000000.0,1682622000000.0,286098449000000.0,3500000000000.0,7951619000000.0,4057087000000.0,70214593000000.0,2550000000.0,-707699000000.0,16190619000000.0,53680384000000.0,196355358000000.0,1312378000000.0,124008000000.0,3186558000000.0,74668133000000.0,191761445000000.0,10642457000000.0,13036099000000.0,6911725000000.0,181377859000000.0
2019-03-31,319246000000.0,4135429000000.0,271382056000000.0,13293508000000.0,1495145000000.0,286170709000000.0,3500000000000.0,6858731000000.0,3799974000000.0,73758868000000.0,2718000000.0,1858105000000.0,16132397000000.0,52244467000000.0,191345899000000.0,1035930000000.0,2689992000000.0,3155062000000.0,70263541000000.0,196297745000000.0,12971544000000.0,11160341000000.0,6277289000000.0,179625834000000.0
2018-03-31,326995000000.0,4135462000000.0,275896921000000.0,13253941000000.0,1489292000000.0,290640154000000.0,3500000000000.0,7143885000000.0,3551054000000.0,77389236000000.0,2885000000.0,2067425000000.0,17891335000000.0,50782381000000.0,180792670000000.0,970601000000.0,2899370000000.0,3154613000000.0,69446674000000.0,199817652000000.0,12924061000000.0,11520376000000.0,17715015000000.0,178489035000000.0
2017-03-31,342836000000.0,4135414000000.0,278207965000000.0,13451765000000.0,1502815000000.0,293162545000000.0,3500000000000.0,6023597000000.0,3294130000000.0,80270701000000.0,3053000000.0,2522221000000.0,15433225000000.0,53313498000000.0,179152994000000.0,868118000000.0,3254213000000.0,3206394000000.0,71576731000000.0,202600306000000.0,13105876000000.0,12239627000000.0,18784270000000.0,178004318000000.0
