,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Good Will,Short Term Investments
2021-03-31,1467000000.0,19536000000.0,81987000000.0,73735000000.0,60000000.0,33936000000.0,155782000000.0,12279000000.0,1441000000.0,42247000000.0,563000000.0,-327000000.0,3389000000.0,32429000000.0,66637000000.0,3387000000.0,660000000.0,4504000000.0,142482000000.0,3940000000.0,72268000000.0,77330000000.0,17591000000.0,21124000000.0,,
2020-03-31,1437000000.0,19503000000.0,70428000000.0,65233000000.0,103000000.0,30331000000.0,135764000000.0,12279000000.0,1134000000.0,33992000000.0,656000000.0,-541000000.0,2608000000.0,31473000000.0,58694000000.0,2601000000.0,466000000.0,4709000000.0,124795000000.0,2151000000.0,63732000000.0,64536000000.0,15560000000.0,19906000000.0,64000000.0,
2019-03-31,1434000000.0,19475000000.0,62912000000.0,58582000000.0,,27182000000.0,121494000000.0,12279000000.0,5146000000.0,27647000000.0,405000000.0,-819000000.0,2698000000.0,23305000000.0,54116000000.0,2690000000.0,225000000.0,5240000000.0,109406000000.0,2716000000.0,57148000000.0,51637000000.0,14305000000.0,18780000000.0,,1999000000.0
2018-03-31,1781000000.0,19462000000.0,48655000000.0,53847000000.0,,22409000000.0,102502000000.0,12279000000.0,3038000000.0,23200000000.0,381000000.0,-1094000000.0,964000000.0,21953000000.0,43735000000.0,957000000.0,-6000000.0,5125000000.0,92390000000.0,2222000000.0,52046000000.0,43647000000.0,13135000000.0,15553000000.0,20000000.0,1999000000.0
