,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,6588900000.0,59982700000.0,20550900000.0,223600000.0,5075600000.0,3075500000.0,80757200000.0,3359300000.0,293000000.0,10687800000.0,20200200000.0,52500000.0,-85100000.0,10178900000.0,392700000.0,9926700000.0,2086100000.0,-85100000.0,64768000000.0,4351500000.0,1406300000.0,20498400000.0,200800000.0,2028000000.0,28986400000.0,1310000000.0,1709700000.0
2019-12-31,6535600000.0,55913400000.0,19632200000.0,346700000.0,4618700000.0,3232300000.0,75892300000.0,3343400000.0,511900000.0,9900900000.0,19503700000.0,52500000.0,-147700000.0,9309900000.0,246800000.0,10299100000.0,1598700000.0,-147700000.0,61095500000.0,4077800000.0,1356600000.0,19579700000.0,202700000.0,1790900000.0,25126800000.0,1169200000.0,2085800000.0
2018-12-31,6486100000.0,49674000000.0,19028400000.0,100400000.0,4632000000.0,2870300000.0,68802800000.0,3337400000.0,664300000.0,9325300000.0,19143500000.0,52500000.0,-120400000.0,8673700000.0,234100000.0,8648800000.0,1698500000.0,-120400000.0,55099100000.0,4113900000.0,863600000.0,18975900000.0,159100000.0,1926500000.0,21648200000.0,921100000.0,1874300000.0
2017-12-31,6398700000.0,46415500000.0,18287000000.0,26600000.0,4849000000.0,2510800000.0,64729100000.0,3329400000.0,722200000.0,8626700000.0,18485800000.0,52500000.0,-67800000.0,9332900000.0,214600000.0,8271300000.0,1753700000.0,-67800000.0,50261500000.0,4253100000.0,829100000.0,18234500000.0,161700000.0,1891000000.0,19419600000.0,953200000.0,2065300000.0
