,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,4431000000.0,55301000000.0,180098000000.0,176336000000.0,28982000000.0,65000000.0,39066000000.0,385416000000.0,33021000000.0,10909000000.0,87180000000.0,22865000000.0,1995000000.0,834000000.0,3070000000.0,25226000000.0,102015000000.0,2976000000.0,4514000000.0,127852000000.0,175714000000.0,72354000000.0,169910000000.0,75288000000.0,49761000000.0,64291000000.0,47670000000.0,
2019-03-31,7010000000.0,55313000000.0,176536000000.0,178319000000.0,29388000000.0,78000000.0,30411000000.0,384243000000.0,33021000000.0,10469000000.0,77664000000.0,24524000000.0,3347000000.0,12321000000.0,2620000000.0,23618000000.0,96739000000.0,2502000000.0,14636000000.0,124202000000.0,175990000000.0,71074000000.0,167962000000.0,74077000000.0,54034000000.0,67826000000.0,52275000000.0,
2018-03-31,7877000000.0,55313000000.0,185686000000.0,175775000000.0,29863000000.0,63000000.0,30293000000.0,391324000000.0,33021000000.0,14475000000.0,66822000000.0,27117000000.0,4349000000.0,20619000000.0,1638000000.0,18927000000.0,124657000000.0,1381000000.0,22006000000.0,122846000000.0,182565000000.0,72049000000.0,163549000000.0,79421000000.0,32689000000.0,69742000000.0,51648000000.0,25000000000.0
2017-03-31,8733000000.0,55292000000.0,182354000000.0,161722000000.0,26432000000.0,36000000.0,35595000000.0,370508000000.0,33021000000.0,13893000000.0,59501000000.0,24648000000.0,5599000000.0,13908000000.0,1579000000.0,24994000000.0,109820000000.0,1317000000.0,14266000000.0,124278000000.0,173159000000.0,57160000000.0,147390000000.0,71434000000.0,46723000000.0,62838000000.0,44254000000.0,
