,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-28,321783000.0,1145083000.0,2378285000.0,2315049000.0,127607000.0,4693334000.0,2438000.0,30000.0,1187805000.0,493230000.0,619196000.0,-20277000.0,311795000.0,1777703000.0,1085681000.0,149415000.0,499260000.0,-20277000.0,430393000.0,2909141000.0,101026000.0,1374070000.0,489513000.0,273028000.0,750410000.0,304340000.0,102131000.0
2019-03-30,178129000.0,1005411000.0,2289839000.0,2861509000.0,28718000.0,5151348000.0,2539000.0,2802000.0,1876969000.0,579996000.0,340718000.0,-23410000.0,283523000.0,1544490000.0,475036000.0,126702000.0,,-23410000.0,328929000.0,3891978000.0,128071000.0,2342662000.0,1631194000.0,335165000.0,1234807000.0,315358000.0,117491000.0
2018-03-31,4123000.0,878672000.0,2700194000.0,2360353000.0,47713000.0,5060547000.0,2534000.0,2922000.0,1513656000.0,573809000.0,162421000.0,-34509000.0,337402000.0,2179328000.0,911945000.0,96848000.0,499186000.0,-34509000.0,304117000.0,4154588000.0,97896000.0,2193809000.0,1268242000.0,382246000.0,1214440000.0,236077000.0,98999000.0
2017-04-01,3576000.0,803522000.0,2232899000.0,2507633000.0,123075000.0,4740532000.0,2480000.0,2424000.0,1726312000.0,340456000.0,161287000.0,-24681000.0,275440000.0,966695000.0,897196000.0,64400000.0,456328000.0,-24681000.0,303825000.0,3880116000.0,116288000.0,2342770000.0,2354762000.0,243915000.0,995247000.0,227033000.0,108293000.0
