,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,487000000.0,11834000000.0,90410000000.0,27972000000.0,4553000000.0,14496000000.0,2578000000.0,122935000000.0,5268000000.0,1453000000.0,11311000000.0,31647000000.0,5280000000.0,-441000000.0,18173000000.0,1065000000.0,12079000000.0,3490000000.0,-395000000.0,89016000000.0,8617000000.0,1362000000.0,22205000000.0,3335000000.0,44859000000.0,2488000000.0,2806000000.0
2019-12-31,536000000.0,11734000000.0,86650000000.0,27505000000.0,4545000000.0,13068000000.0,2458000000.0,118700000000.0,5257000000.0,1731000000.0,10877000000.0,30690000000.0,5280000000.0,-363000000.0,17344000000.0,1975000000.0,12546000000.0,2991000000.0,-321000000.0,84420000000.0,9817000000.0,1303000000.0,21689000000.0,3409000000.0,41594000000.0,2388000000.0,2557000000.0
2018-12-31,613000000.0,11094000000.0,87584000000.0,24723000000.0,4607000000.0,10888000000.0,2471000000.0,116914000000.0,5164000000.0,1416000000.0,8706000000.0,32562000000.0,5315000000.0,-241000000.0,19632000000.0,1396000000.0,14286000000.0,3217000000.0,-203000000.0,80191000000.0,9583000000.0,1580000000.0,18795000000.0,3945000000.0,40539000000.0,2394000000.0,3436000000.0
2017-12-31,873000000.0,10469000000.0,85153000000.0,24167000000.0,1685000000.0,9551000000.0,2682000000.0,111005000000.0,5038000000.0,820000000.0,8885000000.0,27097000000.0,6268000000.0,-225000000.0,13041000000.0,2130000000.0,13594000000.0,3861000000.0,-189000000.0,79238000000.0,10072000000.0,1513000000.0,17026000000.0,4043000000.0,44289000000.0,2627000000.0,3076000000.0
