,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,11288000000.0,19047000000.0,266031000000.0,106376000000.0,64000000.0,36682000000.0,372471000000.0,44000000000.0,10206000000.0,60847000000.0,48364000000.0,-17518000000.0,2000000.0,49227000000.0,159940000000.0,-16547000000.0,51428000000.0,236726000000.0,73027000000.0,95088000000.0,125082000000.0,42310000000.0,52211000000.0,61714000000.0
2019-03-31,10457000000.0,19057000000.0,265303000000.0,100074000000.0,126000000.0,38085000000.0,365503000000.0,44000000000.0,10941000000.0,51785000000.0,47510000000.0,-14768000000.0,1000000.0,29730000000.0,176194000000.0,-13771000000.0,49393000000.0,223206000000.0,82446000000.0,89617000000.0,117928000000.0,29673000000.0,64607000000.0,67465000000.0
2018-03-31,9952000000.0,19795000000.0,269634000000.0,100271000000.0,1873000000.0,38632000000.0,371778000000.0,44000000000.0,15690000000.0,45983000000.0,51062000000.0,-9507000000.0,2000000.0,48698000000.0,186666000000.0,-8944000000.0,52048000000.0,230420000000.0,79356000000.0,90319000000.0,105828000000.0,22956000000.0,60204000000.0,67124000000.0
2017-03-31,10891000000.0,19799000000.0,263509000000.0,96973000000.0,242000000.0,31493000000.0,360724000000.0,44000000000.0,15136000000.0,44434000000.0,49686000000.0,-11260000000.0,,54164000000.0,176559000000.0,-10783000000.0,44783000000.0,231506000000.0,73544000000.0,86082000000.0,99625000000.0,30129000000.0,62581000000.0,58685000000.0
