,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets,Short Term Investments
2021-03-31,943236000000.0,1486721000000.0,20725185000000.0,5575839000000.0,53816000000.0,1288264000000.0,26354840000000.0,880214000000.0,3857152000000.0,880529000000.0,816315000000.0,-648248000000.0,1028699000000.0,1289764000000.0,7815424000000.0,207470000000.0,131699000000.0,-524020000000.0,1362528000000.0,7218744000000.0,14263995000000.0,3752385000000.0,1353393000000.0,773294000000.0,637391000000.0,2356402000000.0,,
2020-03-31,856439000000.0,1289719000000.0,18242041000000.0,4125306000000.0,671996000000.0,1019520000000.0,23039343000000.0,880214000000.0,2768856000000.0,1111970000000.0,773054000000.0,-813483000000.0,1907045000000.0,962318000000.0,6240443000000.0,210372000000.0,20950000000.0,-580980000000.0,1301254000000.0,5735145000000.0,11804800000000.0,2435108000000.0,1191026000000.0,622420000000.0,589969000000.0,1848007000000.0,40731000000.0,
2019-03-31,874998000000.0,1266874000000.0,16536095000000.0,3746377000000.0,699114000000.0,781110000000.0,20981586000000.0,874291000000.0,2320586000000.0,795789000000.0,761327000000.0,-715374000000.0,1779955000000.0,960478000000.0,6079815000000.0,198953000000.0,172946000000.0,-610670000000.0,777053000000.0,5246612000000.0,10892650000000.0,2059859000000.0,1289422000000.0,507292000000.0,653278000000.0,2185172000000.0,9382000000.0,
2018-03-31,527168000000.0,1282577000000.0,15409171000000.0,2967366000000.0,689001000000.0,756238000000.0,19065538000000.0,865678000000.0,1440387000000.0,1108812000000.0,523267000000.0,-621276000000.0,747427000000.0,1586329000000.0,5620541000000.0,96772000000.0,225981000000.0,-616746000000.0,739470000000.0,5176096000000.0,10758215000000.0,1909706000000.0,1203485000000.0,637344000000.0,692937000000.0,1982983000000.0,36979000000.0,1176601000000.0
