,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-10-03,19173000000.0,104037000000.0,83583000000.0,13929000000.0,4545000000.0,201549000000.0,54497000000.0,875000000.0,38315000000.0,21581000000.0,77689000000.0,-9229000000.0,29407000000.0,17914000000.0,26628000000.0,3688000000.0,-8322000000.0,36126000000.0,35251000000.0,3903000000.0,-13279000000.0,12708000000.0,52917000000.0,3754000000.0,12663000000.0
2019-09-28,23215000000.0,91132000000.0,88877000000.0,13975000000.0,5677000000.0,193984000000.0,53907000000.0,979000000.0,42494000000.0,21530000000.0,80293000000.0,-7524000000.0,27525000000.0,5418000000.0,31341000000.0,3515000000.0,-6617000000.0,31603000000.0,28124000000.0,3224000000.0,-14631000000.0,15481000000.0,38129000000.0,6246000000.0,13778000000.0
2018-09-29,6812000000.0,44643000000.0,48773000000.0,5182000000.0,5378000000.0,98598000000.0,36779000000.0,635000000.0,82679000000.0,9699000000.0,31269000000.0,-70685000000.0,11253000000.0,4150000000.0,17860000000.0,2785000000.0,-3097000000.0,29540000000.0,16825000000.0,2899000000.0,10692000000.0,9334000000.0,17084000000.0,2706000000.0,6503000000.0
2017-09-30,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0
