,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-02-20,17083000000.0,26255000000.0,245191000000.0,642097000000.0,39760000000.0,106386000000.0,927048000000.0,13370000000.0,17845000000.0,612082000000.0,30971000000.0,31665000000.0,-9610000000.0,26056000000.0,158577000000.0,206345000000.0,25389000000.0,-639000000.0,460034000000.0,302750000000.0,89460000000.0,593349000000.0,7791000000.0,37801000000.0,2000000000.0,80736000000.0,44554000000.0
2020-02-20,24599000000.0,25074000000.0,122387000000.0,560860000000.0,,68928000000.0,683247000000.0,13370000000.0,11011000000.0,532471000000.0,14610000000.0,,-10055000000.0,13980000000.0,159190000000.0,97063000000.0,13246000000.0,820000000.0,307387000000.0,263589000000.0,73692000000.0,536261000000.0,,27876000000.0,4000000000.0,65512000000.0,19774000000.0
2019-02-20,18857000000.0,19841000000.0,119095000000.0,500191000000.0,,67028000000.0,619286000000.0,13370000000.0,26491000000.0,472755000000.0,16095000000.0,,-5775000000.0,7165000000.0,102345000000.0,95016000000.0,6386000000.0,1952000000.0,302041000000.0,216561000000.0,74662000000.0,481334000000.0,,24818000000.0,6028000000.0,62907000000.0,20956000000.0
2018-02-20,13887000000.0,18232000000.0,108840000000.0,441667000000.0,,58236000000.0,550507000000.0,13370000000.0,25503000000.0,415108000000.0,15272000000.0,,-5043000000.0,6252000000.0,63339000000.0,83425000000.0,5447000000.0,3597000000.0,291315000000.0,164031000000.0,75022000000.0,427780000000.0,,22458000000.0,8000000000.0,52731000000.0,19607000000.0
