,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,3844000000.0,49271000000.0,439819000000.0,231008000000.0,13124000000.0,670827000000.0,10649000000.0,19616000000.0,165745000000.0,20989000000.0,760000000.0,5343000000.0,4337000000.0,84219000000.0,378000000000.0,1876000000.0,1366000000.0,21128000000.0,96399000000.0,477958000000.0,87529000000.0,226404000000.0,10000000.0,298434000000.0,39286000000.0,75679000000.0,355140000000.0
2019-03-31,2621000000.0,48566000000.0,449880000000.0,213847000000.0,9720000000.0,663727000000.0,10649000000.0,20241000000.0,151943000000.0,22089000000.0,1360000000.0,2689000000.0,4475000000.0,79607000000.0,400265000000.0,1592000000.0,8263000000.0,22946000000.0,89095000000.0,479427000000.0,86749000000.0,209866000000.0,,300989000000.0,25677000000.0,78590000000.0,374322000000.0
2018-03-31,2545000000.0,47874000000.0,438744000000.0,207770000000.0,12650000000.0,646514000000.0,10649000000.0,21647000000.0,140317000000.0,23761000000.0,2614000000.0,8930000000.0,3190000000.0,67943000000.0,390827000000.0,569000000.0,662000000.0,25542000000.0,90709000000.0,459556000000.0,87900000000.0,202611000000.0,,296878000000.0,20924000000.0,73088000000.0,369179000000.0
2017-03-31,2998000000.0,47856000000.0,410601000000.0,188270000000.0,7406000000.0,598871000000.0,10649000000.0,21794000000.0,128123000000.0,20295000000.0,4300000000.0,1642000000.0,3166000000.0,31966000000.0,368758000000.0,532000000.0,1480000000.0,17693000000.0,86371000000.0,427052000000.0,74984000000.0,180972000000.0,,299717000000.0,17003000000.0,73575000000.0,349039000000.0
