,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-09-26,258549000000.0,65339000000.0,47867000000.0,323888000000.0,50779000000.0,11264000000.0,14966000000.0,46108000000.0,-406000000.0,33952000000.0,38016000000.0,105392000000.0,8773000000.0,-406000000.0,45336000000.0,143713000000.0,100887000000.0,65339000000.0,52927000000.0,37445000000.0,98667000000.0,4061000000.0,42296000000.0
2019-09-28,248028000000.0,90488000000.0,43242000000.0,338516000000.0,45174000000.0,12352000000.0,45898000000.0,50503000000.0,-584000000.0,32978000000.0,48844000000.0,105718000000.0,10260000000.0,-584000000.0,37378000000.0,162819000000.0,105341000000.0,90488000000.0,51713000000.0,45804000000.0,91807000000.0,4106000000.0,46236000000.0
2018-09-29,258578000000.0,107147000000.0,39293000000.0,365725000000.0,40201000000.0,12087000000.0,70400000000.0,48914000000.0,-3454000000.0,22283000000.0,25913000000.0,115929000000.0,8784000000.0,-3454000000.0,41304000000.0,131339000000.0,170799000000.0,107147000000.0,40388000000.0,48995000000.0,93735000000.0,3956000000.0,55888000000.0
2017-09-30,241272000000.0,134047000000.0,38099000000.0,375319000000.0,35867000000.0,13936000000.0,98330000000.0,43251000000.0,-150000000.0,18177000000.0,20289000000.0,100814000000.0,6496000000.0,-150000000.0,33783000000.0,128645000000.0,194714000000.0,134047000000.0,53892000000.0,35673000000.0,97207000000.0,4855000000.0,44242000000.0
