,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2020-03-31,1443000000.0,22942000000.0,84616000000.0,306647000000.0,11345000000.0,7102000000.0,402608000000.0,18969000000.0,3414000000.0,268100000000.0,24226000000.0,-3364000000.0,1378000000.0,112754000000.0,56656000000.0,1377000000.0,4866000000.0,156181000000.0,215632000000.0,27974000000.0,305204000000.0,23000000000.0,56457000000.0,20007000000.0,25531000000.0
2019-03-31,1604000000.0,22942000000.0,82463000000.0,296637000000.0,11090000000.0,5467000000.0,390190000000.0,18969000000.0,4992000000.0,252891000000.0,24929000000.0,1835000000.0,1166000000.0,86280000000.0,53870000000.0,1165000000.0,10063000000.0,152776000000.0,203298000000.0,31346000000.0,295033000000.0,32000000000.0,53804000000.0,26222000000.0,26320000000.0
2018-03-31,1738000000.0,22942000000.0,82602000000.0,279907000000.0,10974000000.0,5381000000.0,373483000000.0,18969000000.0,6061000000.0,240580000000.0,25757000000.0,-2584000000.0,985000000.0,75770000000.0,53079000000.0,984000000.0,5643000000.0,136098000000.0,202414000000.0,32248000000.0,278169000000.0,43000000000.0,53759000000.0,23824000000.0,26036000000.0
2017-03-31,2428000000.0,22942000000.0,79280000000.0,271198000000.0,10596000000.0,5461000000.0,361074000000.0,18969000000.0,4889000000.0,228277000000.0,25106000000.0,1010000000.0,1470000000.0,78209000000.0,50219000000.0,1469000000.0,9235000000.0,129355000000.0,197314000000.0,30507000000.0,268770000000.0,43000000000.0,49822000000.0,21394000000.0,24339000000.0
