,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,11011000000.0,199636000000.0,10460042000000.0,617951000000.0,1803000000.0,35938000000.0,11079796000000.0,36000000000.0,67946000000.0,379006000000.0,167447000000.0,3309000000.0,7486086000000.0,1173509000000.0,9047746000000.0,9301000000.0,14080000000.0,108885000000.0,1242331000000.0,2231483000000.0,606940000000.0,1244849000000.0,8766321000000.0
2019-03-31,9317000000.0,198362000000.0,9792273000000.0,648528000000.0,3788000000.0,33893000000.0,10444589000000.0,36000000000.0,64933000000.0,366087000000.0,101444000000.0,48079000000.0,7035967000000.0,1211471000000.0,8809080000000.0,972000000.0,53349000000.0,98306000000.0,1277587000000.0,2023412000000.0,639211000000.0,881749000000.0,8567557000000.0
2018-03-31,9746000000.0,194112000000.0,9450493000000.0,624809000000.0,8737000000.0,34340000000.0,10084039000000.0,36000000000.0,66677000000.0,349103000000.0,76581000000.0,45594000000.0,6670483000000.0,926404000000.0,8768791000000.0,1091000000.0,49195000000.0,92647000000.0,996507000000.0,2314656000000.0,615063000000.0,605121000000.0,8572993000000.0
2017-03-31,9735000000.0,194112000000.0,9023543000000.0,606769000000.0,8265000000.0,34397000000.0,9638577000000.0,36000000000.0,71644000000.0,335146000000.0,86379000000.0,41511000000.0,6134490000000.0,742960000000.0,8424388000000.0,878000000.0,45112000000.0,90614000000.0,816629000000.0,2587109000000.0,597034000000.0,512776000000.0,8282466000000.0
