,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2020-03-31,32665000000.0,102350000000.0,1694823000000.0,656881000000.0,59487000000.0,205417000000.0,2411191000000.0,250930000000.0,94920000000.0,345660000000.0,167398000000.0,-42059000000.0,76884000000.0,146044000000.0,813071000000.0,72534000000.0,30215000000.0,-39798000000.0,1015974000000.0,1066476000000.0,219192000000.0,624216000000.0,329203000000.0,714354000000.0,496309000000.0,395946000000.0,
2019-03-31,32640000000.0,102218000000.0,1581660000000.0,739577000000.0,63736000000.0,197017000000.0,2384973000000.0,250930000000.0,112869000000.0,415320000000.0,148167000000.0,-28891000000.0,67080000000.0,173899000000.0,811727000000.0,61765000000.0,22215000000.0,-26277000000.0,930584000000.0,1102249000000.0,252420000000.0,706937000000.0,339076000000.0,621766000000.0,476405000000.0,455310000000.0,
2018-03-31,40807000000.0,102314000000.0,1561441000000.0,742588000000.0,48396000000.0,203288000000.0,2352425000000.0,250930000000.0,112176000000.0,395542000000.0,141290000000.0,-6198000000.0,27773000000.0,165526000000.0,901018000000.0,21505000000.0,14000000000.0,-3527000000.0,981689000000.0,1046288000000.0,255868000000.0,701781000000.0,320139000000.0,519133000000.0,448447000000.0,457126000000.0,
2017-03-31,24147000000.0,103537000000.0,1581030000000.0,673929000000.0,55476000000.0,194490000000.0,2310435000000.0,250930000000.0,133357000000.0,331679000000.0,156944000000.0,-12217000000.0,34216000000.0,155763000000.0,849143000000.0,27540000000.0,30000000000.0,-9557000000.0,972313000000.0,1044322000000.0,235437000000.0,649782000000.0,290680000000.0,574943000000.0,419020000000.0,414090000000.0,45502000000.0
