,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2021-03-31,66073000000.0,18405000000.0,273800000000.0,353494000000.0,2806000000.0,61874000000.0,630100000000.0,21175000000.0,17223000000.0,304824000000.0,23018000000.0,21618000000.0,9090000000.0,4014000000.0,154847000000.0,154458000000.0,4012000000.0,15565000000.0,24117000000.0,61207000000.0,324298000000.0,152890000000.0,265803000000.0,141946000000.0,93651000000.0,2396000000.0,28352000000.0,
2020-03-31,64709000000.0,16111000000.0,245998000000.0,272012000000.0,15141000000.0,64110000000.0,533151000000.0,20067000000.0,14317000000.0,302966000000.0,12450000000.0,20409000000.0,-67132000000.0,4784000000.0,102540000000.0,140456000000.0,4777000000.0,5133000000.0,-504000000.0,63422000000.0,259855000000.0,119972000000.0,186894000000.0,131820000000.0,91186000000.0,2613000000.0,25612000000.0,2301000000.0
2019-03-31,63933000000.0,15551000000.0,187161000000.0,411956000000.0,13075000000.0,49123000000.0,612192000000.0,19338000000.0,16690000000.0,423047000000.0,15223000000.0,27572000000.0,-45980000000.0,3659000000.0,124773000000.0,124264000000.0,3658000000.0,4679000000.0,26217000000.0,65376000000.0,285788000000.0,165864000000.0,320451000000.0,133629000000.0,47144000000.0,2130000000.0,27698000000.0,2121000000.0
2018-03-31,63688000000.0,14776000000.0,219891000000.0,420592000000.0,12188000000.0,58223000000.0,652671000000.0,18600000000.0,26594000000.0,393487000000.0,22503000000.0,39028000000.0,-6271000000.0,1741000000.0,159541000000.0,162133000000.0,1733000000.0,38707000000.0,34947000000.0,68528000000.0,309781000000.0,169905000000.0,317876000000.0,115787000000.0,34490000000.0,1116000000.0,22882000000.0,1218000000.0
