,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2020-09-30,3080000000.0,28877000000.0,335343000000.0,233695000000.0,24000000.0,38500000000.0,569038000000.0,19741000000.0,12789000000.0,186047000000.0,436000000.0,-970000000.0,3059000000.0,219227000000.0,176713000000.0,3032000000.0,9154000000.0,-970000000.0,5010000000.0,507123000000.0,50766000000.0,230615000000.0,37821000000.0,158194000000.0,237286000000.0,22356000000.0,
2019-09-30,3456000000.0,8206000000.0,307837000000.0,138067000000.0,31000000.0,35493000000.0,445904000000.0,4234000000.0,10169000000.0,134629000000.0,428000000.0,-9002000000.0,2508000000.0,135354000000.0,162348000000.0,2475000000.0,13348000000.0,-196000000.0,4990000000.0,424766000000.0,10184000000.0,134611000000.0,29190000000.0,145061000000.0,250053000000.0,21170000000.0,
2018-09-30,3515000000.0,4481000000.0,280152000000.0,106544000000.0,40000000.0,30475000000.0,393637000000.0,4094000000.0,12057000000.0,103324000000.0,404000000.0,-5355000000.0,211000000.0,119053000000.0,182668000000.0,168000000.0,19288000000.0,747000000.0,5474000000.0,379744000000.0,4693000000.0,103029000000.0,15363000000.0,97080000000.0,233271000000.0,19360000000.0,6941000000.0
2017-09-30,1299000000.0,5934000000.0,173358000000.0,83378000000.0,51000000.0,19382000000.0,256736000000.0,4032000000.0,5823000000.0,76038000000.0,111000000.0,-2626000000.0,57000000.0,90910000000.0,82613000000.0,3000000.0,9258000000.0,476000000.0,3113000000.0,248429000000.0,3838000000.0,82079000000.0,6803000000.0,90634000000.0,144893000000.0,10652000000.0,
