,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable,Minority Interest
2020-03-31,9760000000.0,29581000000.0,7928837000000.0,488027000000.0,9790000000.0,8416864000000.0,48652000000.0,34440000000.0,383452000000.0,68488000000.0,26342000000.0,5658802000000.0,845309000000.0,7232575000000.0,8552000000.0,35651000000.0,68354000000.0,881471000000.0,1798477000000.0,478267000000.0,627774000000.0,7204322000000.0,
2019-03-31,10678000000.0,29255000000.0,7608177000000.0,526423000000.0,10638000000.0,8140134000000.0,48652000000.0,23362000000.0,376865000000.0,81228000000.0,71651000000.0,5571794000000.0,752818000000.0,7010922000000.0,1498000000.0,88628000000.0,68806000000.0,777535000000.0,1711321000000.0,515745000000.0,516027000000.0,6982055000000.0,5534000000.0
2018-03-31,10988000000.0,29140000000.0,7468178000000.0,530489000000.0,12284000000.0,8004790000000.0,48652000000.0,23493000000.0,363708000000.0,88594000000.0,88989000000.0,5554582000000.0,573973000000.0,6852406000000.0,1390000000.0,106527000000.0,67841000000.0,597850000000.0,1773529000000.0,519501000000.0,527178000000.0,6840004000000.0,6123000000.0
2017-03-31,10094000000.0,29140000000.0,7460419000000.0,520482000000.0,13376000000.0,7986598000000.0,48652000000.0,24657000000.0,346848000000.0,92705000000.0,95842000000.0,5241626000000.0,539879000000.0,6678599000000.0,1459000000.0,117118000000.0,68655000000.0,565564000000.0,2100659000000.0,510388000000.0,689115000000.0,6652907000000.0,5697000000.0
