,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-05-31,891500000.0,7614900000.0,2331200000.0,525800000.0,9946100000.0,2205300000.0,18400000.0,143500000.0,248600000.0,1037400000.0,-17600000.0,189700000.0,763300000.0,1792800000.0,-17600000.0,6726100000.0,1101400000.0,402300000.0,49800000.0,928800000.0,206900000.0,249400000.0
2019-05-26,1075400000.0,3500200000.0,2392600000.0,503900000.0,5892800000.0,1685000000.0,41600000.0,806600000.0,929900000.0,1183700000.0,-99000000.0,188500000.0,457300000.0,1474100000.0,-99000000.0,2552600000.0,892600000.0,133500000.0,88300000.0,927700000.0,207300000.0,332600000.0
2018-05-27,1086400000.0,3274800000.0,2194800000.0,485300000.0,5469600000.0,1631900000.0,27800000.0,657600000.0,963800000.0,1183700000.0,-94700000.0,216100000.0,146900000.0,1384500000.0,-86900000.0,2429800000.0,553600000.0,-75300000.0,83700000.0,926500000.0,205300000.0,277000000.0
2017-05-28,1052200000.0,3190600000.0,2101700000.0,468400000.0,5292300000.0,1614600000.0,19400000.0,560100000.0,964800000.0,1201700000.0,-73000000.0,178200000.0,233100000.0,1289200000.0,-65200000.0,2272300000.0,587900000.0,-152200000.0,75900000.0,936600000.0,178900000.0,249500000.0
