,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Short Long Term Debt,Long Term Debt
2021-03-31,10911000000.0,4975000000.0,89028000000.0,277017000000.0,24433000000.0,13370000000.0,390478000000.0,4700000000.0,6204000000.0,264261000000.0,12715000000.0,3081000000.0,1752000000.0,153034000000.0,76313000000.0,1748000000.0,5738000000.0,69053000000.0,262909000000.0,45853000000.0,266106000000.0,5361000000.0,64703000000.0,33607000000.0,62943000000.0,,
2020-03-31,9366000000.0,5171000000.0,67269000000.0,254745000000.0,19806000000.0,3708000000.0,341820000000.0,4700000000.0,4670000000.0,249367000000.0,8465000000.0,-4493000000.0,1059000000.0,149628000000.0,55965000000.0,1055000000.0,-4488000000.0,68530000000.0,237852000000.0,25013000000.0,245379000000.0,11540000000.0,43781000000.0,28233000000.0,51084000000.0,75000000.0,
2019-03-31,10080000000.0,5171000000.0,80841000000.0,255617000000.0,21807000000.0,5727000000.0,358265000000.0,4700000000.0,5715000000.0,240038000000.0,8626000000.0,5708000000.0,1781000000.0,128647000000.0,71395000000.0,1778000000.0,5713000000.0,71515000000.0,247797000000.0,27092000000.0,245537000000.0,18596000000.0,68891000000.0,25948000000.0,64747000000.0,150000000.0,75000000.0
2018-03-31,10753000000.0,5171000000.0,92020000000.0,235589000000.0,24335000000.0,11141000000.0,351944000000.0,4700000000.0,4962000000.0,219999000000.0,9439000000.0,5719000000.0,2370000000.0,118758000000.0,80727000000.0,2367000000.0,5723000000.0,73532000000.0,235957000000.0,29332000000.0,224836000000.0,11541000000.0,75521000000.0,25175000000.0,67262000000.0,191000000.0,424000000.0
