,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2020-12-31,1384000000.0,5487000000.0,17532000000.0,97509000000.0,7216000000.0,12196000000.0,122257000000.0,5338000000.0,1532000000.0,173321000000.0,916000000.0,-86637000000.0,2878000000.0,102725000000.0,16200000000.0,2876000000.0,198000000.0,1009000000.0,810000000.0,114120000000.0,3065000000.0,96125000000.0,9746000000.0,416000000.0,117000000.0,3797000000.0,
2019-12-31,3678000000.0,5487000000.0,14243000000.0,85774000000.0,4991000000.0,9891000000.0,105008000000.0,5338000000.0,1528000000.0,159046000000.0,768000000.0,-84097000000.0,2671000000.0,86225000000.0,13327000000.0,2669000000.0,125000000.0,581000000.0,746000000.0,94840000000.0,3073000000.0,82096000000.0,6759000000.0,148000000.0,46000000.0,3303000000.0,282000000.0
2018-12-31,2077000000.0,5487000000.0,17923000000.0,74587000000.0,3522000000.0,9883000000.0,96032000000.0,5338000000.0,1862000000.0,143051000000.0,1017000000.0,-79289000000.0,2185000000.0,74322000000.0,16774000000.0,2183000000.0,159000000.0,738000000.0,325000000.0,88376000000.0,3069000000.0,72510000000.0,11728000000.0,132000000.0,70000000.0,6725000000.0,394000000.0
2017-12-31,1642000000.0,5474000000.0,15660000000.0,60062000000.0,2348000000.0,9515000000.0,78070000000.0,5338000000.0,2087000000.0,128609000000.0,1409000000.0,-79359000000.0,1693000000.0,56031000000.0,14097000000.0,1691000000.0,146000000.0,759000000.0,522000000.0,70913000000.0,3300000000.0,58420000000.0,10668000000.0,154000000.0,178000000.0,4230000000.0,1949000000.0
