,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable
2020-12-31,20710000000.0,25584000000.0,872512000000.0,67425000000.0,785000000.0,820000000.0,12814000000.0,940722000000.0,6000000.0,12616000000.0,30749000000.0,790752000000.0,3035000000.0,11086000000.0,415818000000.0,13701000000.0,61382000000.0,527000000.0,30738000000.0,466000000.0,38689000000.0,462004000000.0,64117000000.0,8458000000.0,20023000000.0,33094000000.0
2019-12-31,21622000000.0,25532000000.0,832833000000.0,63115000000.0,604000000.0,935000000.0,12209000000.0,896552000000.0,6000000.0,10980000000.0,32991000000.0,752780000000.0,3013000000.0,4586000000.0,398907000000.0,16327000000.0,59539000000.0,1371000000.0,24039000000.0,554000000.0,36935000000.0,435521000000.0,59779000000.0,5744000000.0,19920000000.0,31503000000.0
2018-12-31,22256000000.0,24828000000.0,766047000000.0,48617000000.0,414000000.0,1024000000.0,8063000000.0,815078000000.0,6000000.0,9611000000.0,30470000000.0,693537000000.0,863000000.0,-6687000000.0,361888000000.0,15353000000.0,54151000000.0,1656000000.0,10906000000.0,,34891000000.0,395180000000.0,47672000000.0,6684000000.0,18333000000.0,29758000000.0
2017-12-31,20925000000.0,24769000000.0,777625000000.0,54236000000.0,275000000.0,1168000000.0,10291000000.0,832136000000.0,6000000.0,9744000000.0,28671000000.0,702231000000.0,843000000.0,790000000.0,386339000000.0,14490000000.0,56704000000.0,830000000.0,17074000000.0,,34786000000.0,389243000000.0,53292000000.0,7045000000.0,18690000000.0,32279000000.0
