,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,188799000.0,7792082000.0,4878757000.0,5984912000.0,73235000.0,70434000.0,10936904000.0,1697000.0,54113000.0,491316000.0,173868000.0,-1808867000.0,70434000.0,376073000.0,293268000.0,43160000.0,-1784431000.0,9402137000.0,573819000.0,527847000.0,5622245000.0,143633000.0,3889215000.0,234676000.0
2019-12-31,242822000.0,7654930000.0,4842292000.0,6213348000.0,76613000.0,81485000.0,11132253000.0,1676000.0,66276000.0,540472000.0,307434000.0,-1443258000.0,81485000.0,113020000.0,157843000.0,,-1420059000.0,9629016000.0,351620000.0,519876000.0,5663092000.0,169337000.0,3921059000.0,157843000.0
2018-12-31,387069000.0,7672517000.0,4494495000.0,6397970000.0,52198000.0,91834000.0,10944663000.0,1679000.0,81111000.0,603052000.0,314143000.0,-1276226000.0,91834000.0,42532000.0,176231000.0,,-1256392000.0,9333845000.0,313484000.0,504288000.0,5696758000.0,172359000.0,3715212000.0,170740000.0
2017-12-31,478826000.0,7873104000.0,4412663000.0,6692052000.0,41002000.0,82681000.0,11145717000.0,1714000.0,34343000.0,644741000.0,331884000.0,-1182766000.0,82681000.0,45370000.0,172768000.0,122867000.0,-1164459000.0,9559173000.0,265213000.0,427940000.0,5881342000.0,170985000.0,3595154000.0,172768000.0
