,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable,Short Long Term Debt
2020-03-31,19206000000.0,141418000000.0,24215344000000.0,853038000000.0,23000000.0,45662000000.0,25068405000000.0,124799000000.0,93329000000.0,514682000000.0,193898000000.0,72139000000.0,16298469000000.0,4555981000000.0,21213906000000.0,47770000000.0,74585000000.0,209629000000.0,4688561000000.0,3852540000000.0,833832000000.0,37621000000.0,2807540000000.0,17521469000000.0,
2019-03-31,16198000000.0,94164000000.0,20062479000000.0,777290000000.0,17000000.0,43363000000.0,20839786000000.0,124799000000.0,55713000000.0,419871000000.0,143728000000.0,138456000000.0,13081388000000.0,4497130000000.0,17464703000000.0,9366000000.0,138847000000.0,194101000000.0,4554443000000.0,2993656000000.0,761092000000.0,,2454048000000.0,14298202000000.0,
2018-03-31,15564000000.0,94158000000.0,19384706000000.0,778956000000.0,17000000.0,40215000000.0,20163679000000.0,124799000000.0,179517000000.0,381891000000.0,157513000000.0,178108000000.0,12201332000000.0,4174080000000.0,17703138000000.0,3572000000.0,178472000000.0,196289000000.0,4355401000000.0,3395093000000.0,763392000000.0,,1524055000000.0,14078354000000.0,123332000000.0
2017-03-31,15220000000.0,94156000000.0,17400991000000.0,712050000000.0,8000000.0,40008000000.0,18113049000000.0,124799000000.0,140998000000.0,344527000000.0,134599000000.0,148568000000.0,11363014000000.0,2880598000000.0,15914284000000.0,8412000000.0,148911000000.0,198460000000.0,3023297000000.0,3513058000000.0,696830000000.0,,1352108000000.0,13580444000000.0,387697000000.0
