,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,35198000000.0,1102471000000.0,325678000000.0,2275000000.0,135295000000.0,1430424000000.0,145551000000.0,30080000000.0,179315000000.0,194517000000.0,-34386000000.0,31734000000.0,65494000000.0,187666000000.0,31728000000.0,7298000000.0,1034737000000.0,239734000000.0,124219000000.0,325678000000.0,116169000000.0,720288000000.0,27991000000.0,42371000000.0,
2020-03-31,35198000000.0,1046993000000.0,324540000000.0,2107000000.0,95404000000.0,1373640000000.0,145551000000.0,35118000000.0,182178000000.0,194237000000.0,-38387000000.0,33457000000.0,55461000000.0,206609000000.0,33452000000.0,3300000000.0,1015179000000.0,215195000000.0,109809000000.0,324540000000.0,95958000000.0,646147000000.0,28658000000.0,37894000000.0,70914000000.0
2019-03-31,35198000000.0,1032753000000.0,319228000000.0,1960000000.0,90313000000.0,1353941000000.0,145551000000.0,33112000000.0,170280000000.0,194549000000.0,-31801000000.0,33402000000.0,42289000000.0,233889000000.0,33397000000.0,9691000000.0,1009017000000.0,207409000000.0,104113000000.0,319228000000.0,97264000000.0,604315000000.0,34744000000.0,41311000000.0,99945000000.0
2018-03-31,35198000000.0,1017663000000.0,312290000000.0,273000000.0,116575000000.0,1330226000000.0,145551000000.0,32651000000.0,159832000000.0,176221000000.0,-28291000000.0,30297000000.0,56807000000.0,270406000000.0,30291000000.0,13189000000.0,986922000000.0,204636000000.0,108371000000.0,312290000000.0,86213000000.0,571036000000.0,28965000000.0,39357000000.0,112211000000.0
