,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Long Term Debt
2021-03-31,651427000000.0,177830000000.0,887513000000.0,1386115000000.0,347595000000.0,2273628000000.0,103001000000.0,19658000000.0,953289000000.0,295141000000.0,284011000000.0,151995000000.0,98012000000.0,326128000000.0,592372000000.0,54176000000.0,120000000000.0,167372000000.0,264623000000.0,872588000000.0,102967000000.0,450677000000.0,5560000000.0,357162000000.0,164080000000.0,124777000000.0,
2020-03-31,738507000000.0,177506000000.0,1028992000000.0,1289168000000.0,206368000000.0,2318160000000.0,103001000000.0,6566000000.0,905851000000.0,157915000000.0,267510000000.0,102810000000.0,52875000000.0,318391000000.0,798708000000.0,52876000000.0,,109988000000.0,268600000000.0,867514000000.0,123154000000.0,283151000000.0,9459000000.0,370598000000.0,151017000000.0,171954000000.0,3142000000.0
2019-03-31,429707000000.0,177301000000.0,639252000000.0,1258396000000.0,234234000000.0,1897648000000.0,103001000000.0,16483000000.0,991957000000.0,141152000000.0,225864000000.0,-13863000000.0,92956000000.0,311074000000.0,495759000000.0,92958000000.0,,150766000000.0,173483000000.0,857159000000.0,118479000000.0,602825000000.0,2607000000.0,362741000000.0,151511000000.0,185280000000.0,1572000000.0
2018-03-31,416912000000.0,177219000000.0,589916000000.0,1268289000000.0,214487000000.0,1858205000000.0,103001000000.0,15672000000.0,976076000000.0,163877000000.0,212976000000.0,11993000000.0,97236000000.0,331731000000.0,421620000000.0,97237000000.0,,147944000000.0,181295000000.0,845619000000.0,104167000000.0,638401000000.0,13517000000.0,327924000000.0,147626000000.0,140909000000.0,3515000000.0
