,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,15906000000.0,92393000000.0,1318018000000.0,506780000000.0,79252000000.0,430762000000.0,1904050000000.0,119457000000.0,254004000000.0,274723000000.0,213548000000.0,35586000000.0,20207000000.0,15574000000.0,134444000000.0,797892000000.0,15572000000.0,22364000000.0,659298000000.0,955462000000.0,222224000000.0,455288000000.0,214789000000.0,306578000000.0,352225000000.0,113148000000.0,
2019-03-31,17924000000.0,92393000000.0,1214935000000.0,633581000000.0,89754000000.0,382473000000.0,1938270000000.0,119457000000.0,220109000000.0,352932000000.0,177257000000.0,40816000000.0,68799000000.0,19611000000.0,108648000000.0,728011000000.0,19610000000.0,70922000000.0,687415000000.0,909647000000.0,262857000000.0,574841000000.0,245320000000.0,309667000000.0,335570000000.0,147566000000.0,
2018-03-31,19938000000.0,92422000000.0,1246590000000.0,682471000000.0,86023000000.0,374341000000.0,2015084000000.0,119457000000.0,236758000000.0,361430000000.0,179218000000.0,44636000000.0,109162000000.0,17915000000.0,93389000000.0,777080000000.0,17914000000.0,111251000000.0,645559000000.0,954146000000.0,332890000000.0,617897000000.0,257909000000.0,290292000000.0,366090000000.0,158369000000.0,25000000000.0
2017-03-31,15138000000.0,92422000000.0,1186745000000.0,621281000000.0,88913000000.0,360464000000.0,1896939000000.0,119457000000.0,227121000000.0,333526000000.0,170669000000.0,43436000000.0,75876000000.0,26426000000.0,141264000000.0,706665000000.0,26425000000.0,77893000000.0,666226000000.0,867469000000.0,278244000000.0,562707000000.0,210806000000.0,309411000000.0,288278000000.0,114502000000.0,15000000000.0
