,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-03-31,567874000000.0,21827293000000.0,3374693000000.0,51980000000.0,25253966000000.0,150000000000.0,2103000000.0,1800292000000.0,16362415000000.0,533432000000.0,1424401000000.0,3769107000000.0,820873000000.0,3391475000000.0,33888000000.0,319446000000.0,1447611000000.0,315216000000.0,2192339000000.0,17875998000000.0,2273387000000.0,5611000000.0,1363752000000.0,2073403000000.0,2995636000000.0
2019-03-31,355917000000.0,18927663000000.0,3576712000000.0,27027000000.0,22531402000000.0,150000000000.0,2156000000.0,1742188000000.0,15219010000000.0,411681000000.0,1684524000000.0,2635088000000.0,851657000000.0,2950161000000.0,29511000000.0,,1702823000000.0,293257000000.0,2332848000000.0,16502611000000.0,2809114000000.0,10083000000.0,1468952000000.0,758492000000.0,2863815000000.0
2018-03-31,374465000000.0,19094401000000.0,3807745000000.0,27789000000.0,22929935000000.0,150000000000.0,214101000000.0,1837908000000.0,15088714000000.0,423538000000.0,1819837000000.0,2976759000000.0,733832000000.0,3054922000000.0,30889000000.0,,1934283000000.0,289116000000.0,2236155000000.0,16629902000000.0,3009742000000.0,35879000000.0,1252343000000.0,950765000000.0,2973350000000.0
2017-03-31,413287000000.0,19037845000000.0,3544437000000.0,25321000000.0,22607603000000.0,150000000000.0,101650000000.0,1699030000000.0,14517875000000.0,466793000000.0,1695407000000.0,3205101000000.0,710666000000.0,2973111000000.0,31032000000.0,145847000000.0,1709065000000.0,289398000000.0,2134961000000.0,16098063000000.0,2664357000000.0,56808000000.0,1265837000000.0,1546859000000.0,2753498000000.0
