,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab,Short Long Term Debt
2020-03-31,45292000000.0,108853000000.0,1540949000000.0,256566000000.0,14392000000.0,162447000000.0,1811907000000.0,5000000000.0,142270000000.0,247283000000.0,137622000000.0,-104570000000.0,18299000000.0,225049000000.0,864583000000.0,18298000000.0,-90577000000.0,400948000000.0,1081148000000.0,266220000000.0,211274000000.0,420989000000.0,538744000000.0,292840000000.0,348330000000.0,,
2019-03-31,39505000000.0,208725000000.0,1491221000000.0,341688000000.0,15642000000.0,155578000000.0,1848551000000.0,5000000000.0,95046000000.0,247826000000.0,141138000000.0,-119863000000.0,23063000000.0,266648000000.0,811878000000.0,23056000000.0,-105876000000.0,395663000000.0,1131605000000.0,258715000000.0,302183000000.0,528430000000.0,538205000000.0,241481000000.0,410150000000.0,6000000.0,30000000000.0
2018-03-31,44797000000.0,295332000000.0,1506948000000.0,378447000000.0,23265000000.0,159973000000.0,1908660000000.0,5000000000.0,118265000000.0,204906000000.0,135983000000.0,-126791000000.0,22000000.0,422302000000.0,833938000000.0,,-112855000000.0,428595000000.0,1223738000000.0,211508000000.0,333650000000.0,463457000000.0,537027000000.0,219714000000.0,429477000000.0,21000000.0,10000000000.0
2017-03-31,42359000000.0,576792000000.0,1465882000000.0,294154000000.0,13646000000.0,176876000000.0,1773682000000.0,5000000000.0,126698000000.0,-148597000000.0,133912000000.0,-139041000000.0,38000000.0,482117000000.0,801637000000.0,,-125139000000.0,349614000000.0,1193709000000.0,187962000000.0,251795000000.0,367002000000.0,530333000000.0,217892000000.0,350567000000.0,36000000.0,
