,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus,Deferred Long Term Liab
2021-03-31,20872000000.0,385414000000.0,398342000000.0,6503000000.0,106280000000.0,790259000000.0,11882000000.0,18694000000.0,376550000000.0,51030000000.0,4015000000.0,9910000000.0,20709000000.0,69165000000.0,252169000000.0,20707000000.0,22092000000.0,11078000000.0,352823000000.0,303622000000.0,88218000000.0,373455000000.0,185016000000.0,72535000000.0,30747000000.0,79757000000.0,,
2020-03-31,19468000000.0,349138000000.0,383979000000.0,39104000000.0,84362000000.0,772221000000.0,11882000000.0,20553000000.0,333540000000.0,49650000000.0,5467000000.0,-2275000000.0,20698000000.0,68706000000.0,210874000000.0,20696000000.0,18719000000.0,-1107000000.0,321699000000.0,270873000000.0,134016000000.0,359044000000.0,152792000000.0,78008000000.0,28822000000.0,62728000000.0,40832000000.0,
2019-03-31,20299000000.0,373381000000.0,355711000000.0,33715000000.0,109220000000.0,762807000000.0,11882000000.0,15207000000.0,301514000000.0,47163000000.0,2657000000.0,1337000000.0,21503000000.0,101705000000.0,221069000000.0,21501000000.0,19844000000.0,2509000000.0,286139000000.0,298165000000.0,134044000000.0,332755000000.0,153288000000.0,94230000000.0,27965000000.0,64790000000.0,40978000000.0,
2018-03-31,22200000000.0,352411000000.0,329537000000.0,28671000000.0,85425000000.0,710619000000.0,11882000000.0,24095000000.0,274806000000.0,46785000000.0,3777000000.0,1843000000.0,11371000000.0,108567000000.0,195119000000.0,11335000000.0,19492000000.0,3015000000.0,231003000000.0,310150000000.0,132118000000.0,303560000000.0,142095000000.0,97944000000.0,35393000000.0,71648000000.0,41006000000.0,34000000.0
