,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable,Minority Interest
2020-03-31,1960000000.0,24536000000.0,5909202000000.0,375800000000.0,27475000000.0,6285002000000.0,33076000000.0,49808000000.0,220282000000.0,83842000000.0,97906000000.0,3934347000000.0,934834000000.0,5116977000000.0,614000000.0,106090000000.0,52843000000.0,984940000000.0,1310912000000.0,373840000000.0,708383000000.0,4953116000000.0,
2019-03-31,2389000000.0,24536000000.0,5713045000000.0,402226000000.0,25776000000.0,6115271000000.0,33076000000.0,49724000000.0,209664000000.0,94465000000.0,134950000000.0,3839280000000.0,811032000000.0,5009907000000.0,665000000.0,140871000000.0,56033000000.0,860928000000.0,1356641000000.0,399837000000.0,608673000000.0,4934142000000.0,
2018-03-31,2811000000.0,24536000000.0,5467136000000.0,407904000000.0,25037000000.0,5875040000000.0,33076000000.0,43660000000.0,197201000000.0,96341000000.0,153091000000.0,3678139000000.0,741203000000.0,4926822000000.0,655000000.0,156567000000.0,56788000000.0,785237000000.0,1352065000000.0,405093000000.0,443973000000.0,4767151000000.0,
2017-03-31,3674000000.0,24577000000.0,5165316000000.0,371157000000.0,23930000000.0,5539561000000.0,33076000000.0,40015000000.0,185201000000.0,80769000000.0,128303000000.0,3494360000000.0,470106000000.0,4717332000000.0,641000000.0,131793000000.0,57924000000.0,510437000000.0,1473166000000.0,367483000000.0,367215000000.0,4603126000000.0,3088000000.0
