,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Other Current Assets
2020-12-31,13747607000.0,28215119000.0,11065240000.0,5547528000.0,39280359000.0,3447698000.0,7573144000.0,2654608000.0,44398000.0,12773263000.0,8205550000.0,7805785000.0,589091000.0,499878000.0,44398000.0,2997909000.0,9761580000.0,-2682367000.0,1352988000.0,15809095000.0,656183000.0,
2019-12-31,14703352000.0,26393555000.0,7582157000.0,5338306000.0,33975712000.0,2793929000.0,4811749000.0,3355987000.0,-23521000.0,10996350000.0,5018437000.0,6855696000.0,658206000.0,,-23521000.0,2097506000.0,6178504000.0,-7121195000.0,979068000.0,14759260000.0,674347000.0,
2018-12-31,14951141000.0,20735635000.0,5238765000.0,5442461000.0,25974400000.0,2315988000.0,2942359000.0,3888257000.0,-19582000.0,910843000.0,3794483000.0,6487320000.0,564425000.0,,-19582000.0,418281000.0,9694135000.0,-9712376000.0,569633000.0,10360058000.0,562985000.0,5151186000.0
2017-12-31,10371055000.0,15430786000.0,3581956000.0,4791663000.0,19012742000.0,1871396000.0,1731117000.0,3465042000.0,-20557000.0,652309000.0,2822795000.0,5466312000.0,478266000.0,,-20557000.0,319404000.0,7669974000.0,-6789099000.0,,6499432000.0,359555000.0,4847179000.0
