,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Total Assets,Common Stock,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,29665000000.0,30757000000.0,863054000000.0,221485000000.0,1346000000.0,1085885000000.0,30702000000.0,155760000000.0,72725000000.0,4266000000.0,122878000000.0,848446000000.0,685133000000.0,909000000.0,4604000000.0,13985000000.0,848446000000.0,70911000000.0,191820000000.0,105196000000.0,684560000000.0
2019-03-31,26655000000.0,30661000000.0,929039000000.0,212876000000.0,11000000.0,1141926000000.0,30679000000.0,147094000000.0,104028000000.0,4442000000.0,233827000000.0,780650000000.0,680011000000.0,732000000.0,4794000000.0,15155000000.0,780650000000.0,85639000000.0,186221000000.0,145000000000.0,679474000000.0
2018-03-31,35958000000.0,30554000000.0,810460000000.0,212007000000.0,18000000.0,1022485000000.0,30572000000.0,146075000000.0,81797000000.0,4806000000.0,189421000000.0,710369000000.0,623663000000.0,962000000.0,5186000000.0,24798000000.0,710369000000.0,61939000000.0,176049000000.0,105000000000.0,623206000000.0
2017-03-31,34473000000.0,30554000000.0,758713000000.0,199057000000.0,22000000.0,957792000000.0,30572000000.0,132093000000.0,55932000000.0,5838000000.0,125125000000.0,694588000000.0,582781000000.0,790000000.0,5838000000.0,25740000000.0,694588000000.0,77866000000.0,164584000000.0,120000000000.0,572310000000.0
