,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,1229259000.0,35488634000.0,19740425000.0,31907599000.0,4353033000.0,425995000.0,138757000.0,56065005000.0,7394000.0,1211117000.0,1028210000.0,-3588429000.0,588479000.0,598086000.0,1422671000.0,5592000.0,149000.0,-3588429000.0,44455673000.0,2189580000.0,7602014000.0,30678340000.0,380377000.0,16849076000.0,1143372000.0
2019-12-31,733583000.0,25719427000.0,13960066000.0,22584179000.0,3418657000.0,381013000.0,131497000.0,40031850000.0,6318000.0,843627000.0,672491000.0,-3141566000.0,505798000.0,1088855000.0,910064000.0,4595000.0,,-3141566000.0,30380550000.0,2174548000.0,6237371000.0,21850596000.0,242066000.0,11905877000.0,704954000.0
2018-12-31,813063000.0,25685987000.0,12616776000.0,22229145000.0,3502795000.0,346852000.0,80469000.0,38417664000.0,6296000.0,753573000.0,585649000.0,-3463138000.0,479807000.0,343856000.0,941312000.0,8767000.0,428000.0,-3463138000.0,30042518000.0,1336982000.0,5745294000.0,21416082000.0,239526000.0,11089815000.0,760515000.0
2017-12-31,531627000.0,19363007000.0,10775334000.0,15562210000.0,3074583000.0,306461000.0,89217000.0,29481075000.0,5322000.0,453155000.0,534873000.0,-3806119000.0,414332000.0,447046000.0,827830000.0,13533000.0,,-3806119000.0,21889119000.0,1149547000.0,5496450000.0,15030583000.0,239123000.0,9412631000.0,702804000.0
