,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,756097000000.0,9040959000000.0,2900188000000.0,16699000000.0,910063000000.0,11957846000000.0,1400975000000.0,329170000000.0,791881000000.0,2892810000000.0,-48765000000.0,1000000.0,813300000000.0,4174787000000.0,968868000000.0,-40291000000.0,7638784000000.0,1786016000000.0,2533045000000.0,2900188000000.0,555709000000.0,1973362000000.0,87837000000.0,315974000000.0
2019-03-31,756098000000.0,9853768000000.0,2889423000000.0,14276000000.0,1044824000000.0,12757467000000.0,1400975000000.0,320089000000.0,741070000000.0,2646923000000.0,-8720000000.0,4000000.0,1000681000000.0,5080336000000.0,991886000000.0,-251000000.0,8594126000000.0,2099748000000.0,2063589000000.0,2889423000000.0,613295000000.0,2126509000000.0,165683000000.0,264510000000.0
2018-03-31,743121000000.0,9934559000000.0,2651384000000.0,5880000000.0,1099959000000.0,12591823000000.0,1400975000000.0,301870000000.0,508584000000.0,2596616000000.0,-1296000000.0,2000000.0,1187283000000.0,4652768000000.0,1756527000000.0,7158000000.0,8453504000000.0,2226156000000.0,1912161000000.0,2651384000000.0,576763000000.0,2685175000000.0,160240000000.0,208576000000.0
2017-03-31,743123000000.0,9928922000000.0,2343434000000.0,5244000000.0,1031489000000.0,12277600000000.0,1400975000000.0,386039000000.0,193404000000.0,2705795000000.0,5932000000.0,3000000.0,941383000000.0,3804342000000.0,1726040000000.0,14374000000.0,8470585000000.0,1983740000000.0,1823272000000.0,2343434000000.0,499547000000.0,3418785000000.0,156771000000.0,181137000000.0
