,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,2339000000.0,32907000000.0,12425000000.0,164000000.0,4128000000.0,964000000.0,45496000000.0,5406000000.0,476000000.0,7156000000.0,11104000000.0,2466000000.0,-137000000.0,7008000000.0,514000000.0,2691000000.0,462000000.0,-137000000.0,28121000000.0,3498000000.0,2064000000.0,7620000000.0,1792000000.0,18977000000.0,716000000.0,1029000000.0
2019-12-31,2393000000.0,30432000000.0,11672000000.0,164000000.0,4171000000.0,1226000000.0,42268000000.0,5233000000.0,347000000.0,6587000000.0,10373000000.0,2464000000.0,-148000000.0,6712000000.0,93000000.0,3997000000.0,682000000.0,-148000000.0,25486000000.0,3086000000.0,2127000000.0,6815000000.0,1887000000.0,15924000000.0,759000000.0,1076000000.0
2018-12-31,849000000.0,25571000000.0,10237000000.0,480000000.0,4568000000.0,874000000.0,36288000000.0,4245000000.0,481000000.0,6112000000.0,8999000000.0,2293000000.0,-120000000.0,6246000000.0,71000000.0,4438000000.0,1495000000.0,-120000000.0,21650000000.0,3260000000.0,1990000000.0,7095000000.0,1897000000.0,12127000000.0,811000000.0,1329000000.0
2017-12-31,867000000.0,23777000000.0,9512000000.0,478000000.0,3723000000.0,800000000.0,33767000000.0,3989000000.0,380000000.0,5643000000.0,8780000000.0,2293000000.0,-120000000.0,5500000000.0,66000000.0,2812000000.0,104000000.0,-120000000.0,20721000000.0,3081000000.0,1305000000.0,6352000000.0,1856000000.0,12184000000.0,779000000.0,1171000000.0
