,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-03-31,1075871000000.0,2063881000000.0,3707083000000.0,2682318000000.0,307279000000.0,1233230000000.0,6696680000000.0,237724000000.0,830031000000.0,362999000000.0,467609000000.0,1778765000000.0,17714000000.0,39433000000.0,1065726000000.0,1849911000000.0,39427000000.0,35099000000.0,304168000000.0,3256785000000.0,241658000000.0,-172318000000.0,448210000000.0,888150000000.0,1389563000000.0,24668000000.0,616681000000.0
2020-03-31,679375000000.0,212539000000.0,2886088000000.0,771548000000.0,276274000000.0,936005000000.0,3933910000000.0,237422000000.0,514561000000.0,330752000000.0,376405000000.0,400034000000.0,-9165000000.0,43745000000.0,880100000000.0,1423247000000.0,43739000000.0,8217000000.0,237519000000.0,2408807000000.0,164430000000.0,-307861000000.0,264213000000.0,729044000000.0,1086436000000.0,20889000000.0,487242000000.0
2019-03-31,165293000000.0,-12545000000.0,1519079000000.0,818291000000.0,92231000000.0,792751000000.0,2429601000000.0,8939000000.0,520493000000.0,832147000000.0,116571000000.0,175301000000.0,-10250000000.0,34557000000.0,546784000000.0,1187296000000.0,34551000000.0,14190000000.0,133867000000.0,1858464000000.0,62119000000.0,477697000000.0,191260000000.0,581621000000.0,215212000000.0,18306000000.0,394545000000.0
2018-03-31,167111000000.0,-4602000000.0,1394747000000.0,1013368000000.0,108518000000.0,737148000000.0,2516633000000.0,8737000000.0,477483000000.0,993894000000.0,118679000000.0,162015000000.0,15339000000.0,27692000000.0,868325000000.0,1085494000000.0,27686000000.0,16655000000.0,123943000000.0,2010634000000.0,25238000000.0,684242000000.0,163380000000.0,483761000000.0,190574000000.0,17685000000.0,348346000000.0
