,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments
2021-01-30,125448000.0,260515000.0,24980871000.0,5832684000.0,2491344000.0,30813555000.0,1204698000.0,9029000.0,4973542000.0,1101066000.0,98998000.0,-606071000.0,627678000.0,10469570000.0,10803668000.0,127191000.0,749684000.0,-606071000.0,14026094000.0,15739337000.0,196000000.0,5608238000.0,497401000.0,5332921000.0,4337389000.0,4823397000.0,
2020-02-01,133365000.0,,18196791000.0,5948212000.0,2052047000.0,24145003000.0,1199100000.0,7240000.0,5422283000.0,993286000.0,95546000.0,-673171000.0,410090000.0,3216752000.0,7150247000.0,12132000.0,,-673171000.0,14385380000.0,8890622000.0,230000000.0,5719301000.0,433230000.0,2236625000.0,4872592000.0,2672557000.0,
2019-02-02,137957000.0,,9277423000.0,5048606000.0,1979062000.0,14326029000.0,1217183000.0,8136000.0,4461744000.0,1269175000.0,97552000.0,-630321000.0,366090000.0,3030229000.0,5531374000.0,6467000.0,,-630321000.0,5255208000.0,8469222000.0,,4813097000.0,346298000.0,2233616000.0,4579033000.0,2644143000.0,
2018-02-03,144880000.0,,8909706000.0,5148309000.0,1516682000.0,14058015000.0,1256018000.0,12217000.0,4334150000.0,1331645000.0,100069000.0,-441859000.0,321286000.0,2758477000.0,5125537000.0,6558000.0,,-441859000.0,5006053000.0,8485727000.0,,4903360000.0,327166000.0,2230607000.0,4187243000.0,2488373000.0,506165000.0
