,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,620000000.0,15207000000.0,41193000000.0,151859000000.0,8133000000.0,8801000000.0,201185000000.0,14640000000.0,2259000000.0,125795000000.0,5038000000.0,-3783000000.0,356000000.0,47822000000.0,25193000000.0,346000000.0,10694000000.0,53112000000.0,96943000000.0,50154000000.0,151239000000.0,2999000000.0,26206000000.0,10962000000.0,17657000000.0,13745000000.0
2019-12-31,661000000.0,15207000000.0,34755000000.0,144873000000.0,6858000000.0,8121000000.0,186486000000.0,14640000000.0,2647000000.0,120908000000.0,3167000000.0,-5882000000.0,406000000.0,46405000000.0,20316000000.0,395000000.0,9087000000.0,55057000000.0,93282000000.0,37080000000.0,144212000000.0,2999000000.0,23792000000.0,11272000000.0,17439000000.0,10345000000.0
2018-12-31,558000000.0,15207000000.0,33827000000.0,144440000000.0,6416000000.0,8293000000.0,184683000000.0,14640000000.0,3761000000.0,120885000000.0,2253000000.0,-6292000000.0,453000000.0,56093000000.0,21574000000.0,438000000.0,7524000000.0,48358000000.0,101589000000.0,33725000000.0,143882000000.0,2000000000.0,22491000000.0,10000000000.0,17244000000.0,11381000000.0
2017-12-31,490000000.0,15207000000.0,25166000000.0,147142000000.0,6373000000.0,9446000000.0,178681000000.0,14640000000.0,3249000000.0,116904000000.0,3424000000.0,391000000.0,154000000.0,44181000000.0,21742000000.0,145000000.0,12123000000.0,51703000000.0,87719000000.0,38615000000.0,146652000000.0,2000000000.0,22397000000.0,,15892000000.0,10444000000.0
