,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,3017000000.0,34260000000.0,9243477000000.0,832737000000.0,2249000000.0,14577000000.0,10078463000000.0,42103000000.0,37638000000.0,376249000000.0,276969000000.0,380125000000.0,5996021000000.0,1085260000000.0,8460990000000.0,1273000000.0,381675000000.0,75998000000.0,1123094000000.0,2880333000000.0,829720000000.0,505518000000.0,7998795000000.0
2019-03-31,3172000000.0,34331000000.0,8814194000000.0,848718000000.0,2215000000.0,20786000000.0,9665127000000.0,42103000000.0,93390000000.0,363391000000.0,252129000000.0,408893000000.0,5628783000000.0,931179000000.0,8061264000000.0,1317000000.0,410708000000.0,76980000000.0,1024714000000.0,2931478000000.0,845546000000.0,500801000000.0,8030489000000.0
2018-03-31,2996000000.0,34332000000.0,8546228000000.0,930118000000.0,2246000000.0,23961000000.0,9478592000000.0,42103000000.0,92600000000.0,336148000000.0,283078000000.0,517535000000.0,5359181000000.0,854822000000.0,7849649000000.0,1476000000.0,519348000000.0,78670000000.0,947547000000.0,3090198000000.0,927122000000.0,413501000000.0,7799128000000.0
2017-03-31,2763000000.0,30301000000.0,8133107000000.0,757606000000.0,8687000000.0,17740000000.0,8899400000000.0,42103000000.0,74302000000.0,321389000000.0,242501000000.0,363813000000.0,5037568000000.0,826631000000.0,7605323000000.0,1457000000.0,364885000000.0,80827000000.0,900988000000.0,2877254000000.0,754843000000.0,285283000000.0,7567389000000.0
