,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-12-31,106755000.0,408244000.0,3328210000.0,2600138000.0,5928348000.0,1671000.0,4984739000.0,850783000.0,105367000.0,-2794516000.0,35915000.0,313302000.0,1084803000.0,3825694000.0,1842117000.0,12500000.0,2388016000.0,1310252000.0,1305424000.0,23804000.0,587510000.0,
2019-12-31,106506000.0,374049000.0,3203825000.0,2267029000.0,5470854000.0,1671000.0,4592938000.0,792219000.0,96326000.0,-2701629000.0,35557000.0,35000000.0,1035766000.0,3746366000.0,1481299000.0,4800000.0,2064197000.0,1242160000.0,1295740000.0,21106000.0,602601000.0,
2018-12-31,65070000.0,340457000.0,2990263000.0,2101384000.0,5091647000.0,1671000.0,4188435000.0,734717000.0,40087000.0,-2429179000.0,22698000.0,7600000.0,1352348000.0,3445111000.0,1502981000.0,15700000.0,1996227000.0,1326209000.0,903198000.0,21977000.0,709736000.0,250706000.0
2017-12-31,73691000.0,310811000.0,2626024000.0,1839325000.0,4465349000.0,1671000.0,3803844000.0,617131000.0,39764000.0,-2277001000.0,13435000.0,14612000.0,921844000.0,2983331000.0,1338728000.0,16400000.0,1725870000.0,1204266000.0,1087049000.0,20688000.0,598594000.0,
