,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets
2021-03-31,33524000000.0,120880000000.0,540616000000.0,1920805000000.0,840000000.0,41525000000.0,2462261000000.0,69444000000.0,1786660000000.0,87029000000.0,71058000000.0,-56179000000.0,53223000000.0,363979000000.0,317911000000.0,37796000000.0,-2627000000.0,1078838000000.0,1184180000000.0,41438000000.0,1816223000000.0,86817000000.0,340871000000.0,110625000000.0,361331000000.0,85927000000.0,
2020-03-31,38576000000.0,120775000000.0,555423000000.0,1694104000000.0,703000000.0,101905000000.0,2250230000000.0,69444000000.0,1616783000000.0,92744000000.0,73032000000.0,-112898000000.0,42220000000.0,239656000000.0,284300000000.0,42220000000.0,-59335000000.0,1002210000000.0,1027227000000.0,66965000000.0,1582496000000.0,136504000000.0,281032000000.0,149971000000.0,334408000000.0,79330000000.0,35627000000.0
2019-03-31,47526000000.0,120702000000.0,444353000000.0,1603976000000.0,564000000.0,117788000000.0,2048893000000.0,69444000000.0,1493697000000.0,84175000000.0,78389000000.0,-79867000000.0,42065000000.0,181956000000.0,259771000000.0,42065000000.0,-26273000000.0,856453000000.0,933941000000.0,90519000000.0,1478061000000.0,97145000000.0,274109000000.0,100407000000.0,349315000000.0,75491000000.0,31416000000.0
2018-03-31,54347000000.0,120596000000.0,339797000000.0,1456600000000.0,616000000.0,116197000000.0,1797013000000.0,69444000000.0,1336208000000.0,77243000000.0,76914000000.0,-69648000000.0,36346000000.0,168902000000.0,261812000000.0,36346000000.0,-16052000000.0,705229000000.0,810260000000.0,113917000000.0,1325339000000.0,51537000000.0,257876000000.0,742000000.0,290257000000.0,94074000000.0,41688000000.0
