,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,2704000000.0,11822000000.0,5688000000.0,200000000.0,1992000000.0,511000000.0,17710000000.0,2000000.0,204000000.0,2994000000.0,3743000000.0,-12000000.0,2002000000.0,54000000.0,1297000000.0,8000000.0,-12000000.0,14336000000.0,887000000.0,485000000.0,5688000000.0,412000000.0,6769000000.0,217000000.0,377000000.0
2019-12-31,2446000000.0,11296000000.0,5205000000.0,200000000.0,1819000000.0,614000000.0,16701000000.0,2000000.0,231000000.0,2766000000.0,3695000000.0,-9000000.0,1830000000.0,16000000.0,2054000000.0,657000000.0,-9000000.0,13527000000.0,876000000.0,468000000.0,5205000000.0,402000000.0,5533000000.0,227000000.0,422000000.0
2018-12-31,2045500000.0,10640300000.0,4585700000.0,200000000.0,1743500000.0,391200000.0,15426000000.0,2400000.0,159800000.0,2545900000.0,3749900000.0,-8100000.0,1747200000.0,20900000.0,1644100000.0,256500000.0,-8100000.0,12462400000.0,785100000.0,431300000.0,4585700000.0,350400000.0,5246300000.0,211800000.0,543300000.0
2017-12-31,1845500000.0,9805600000.0,4182200000.0,200000000.0,1648100000.0,389500000.0,14187800000.0,2300000.0,130700000.0,2346000000.0,3646000000.0,-11600000.0,1652100000.0,27900000.0,2149000000.0,855700000.0,-11600000.0,11234500000.0,905100000.0,396100000.0,4182200000.0,482800000.0,4010600000.0,222400000.0,477300000.0
