,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable
2021-03-31,283000000.0,23412000000.0,76675000000.0,252139000000.0,212000000.0,38179000000.0,329026000000.0,21424000000.0,9456000000.0,203677000000.0,748000000.0,3626000000.0,6226000000.0,109809000000.0,75927000000.0,6225000000.0,3657000000.0,108448000000.0,208108000000.0,5961000000.0,251856000000.0,33098000000.0,55745000000.0,22457000000.0
2020-03-31,319000000.0,22781000000.0,47436000000.0,226751000000.0,138000000.0,20886000000.0,274325000000.0,20793000000.0,6155000000.0,181239000000.0,531000000.0,1938000000.0,5054000000.0,87909000000.0,46905000000.0,5052000000.0,1967000000.0,93415000000.0,169990000000.0,5547000000.0,226432000000.0,25558000000.0,50368000000.0,16027000000.0
2019-03-31,400000000.0,22651000000.0,38072000000.0,219960000000.0,148000000.0,13103000000.0,258180000000.0,20663000000.0,4981000000.0,173739000000.0,456000000.0,2907000000.0,4123000000.0,91380000000.0,37616000000.0,4122000000.0,2932000000.0,76868000000.0,169795000000.0,6994000000.0,219560000000.0,34843000000.0,38591000000.0,16546000000.0
2018-03-31,511000000.0,22639000000.0,51292000000.0,205153000000.0,110000000.0,21031000000.0,256555000000.0,20651000000.0,10173000000.0,157919000000.0,935000000.0,3944000000.0,111000000.0,91574000000.0,50357000000.0,109000000.0,3969000000.0,69264000000.0,179034000000.0,7635000000.0,204642000000.0,43595000000.0,33692000000.0,20516000000.0
