,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,565473000.0,2018858000.0,3393876000.0,12848000.0,135522000.0,5425582000.0,1982164000.0,124000.0,1647175000.0,250616000.0,2356085000.0,-235463000.0,51581000.0,319581000.0,503607000.0,-235463000.0,1243692000.0,1208751000.0,472318000.0,586481000.0,1150521000.0,248259000.0,149341000.0
2019-03-31,604614000.0,1887273000.0,3177810000.0,7988000.0,139304000.0,5073071000.0,1998564000.0,552000.0,1339024000.0,238850000.0,2322928000.0,-159778000.0,60212000.0,220633000.0,465196000.0,-159778000.0,1031582000.0,1053735000.0,250268000.0,564830000.0,1183227000.0,208243000.0,152913000.0
2018-03-31,726980000.0,1983034000.0,3205945000.0,11340000.0,102049000.0,5200334000.0,2048037000.0,187000.0,1146223000.0,268571000.0,2433784000.0,11685000.0,39389000.0,201534000.0,398462000.0,11685000.0,1010524000.0,989657000.0,45181000.0,528066000.0,1316001000.0,205731000.0,135866000.0
2017-03-31,724887000.0,2114422000.0,2798587000.0,11431000.0,146774000.0,4924455000.0,2085134000.0,160000.0,954155000.0,254478000.0,2231303000.0,-240702000.0,34555000.0,282918000.0,381583000.0,-240702000.0,915908000.0,1017802000.0,-157603000.0,483451000.0,1478361000.0,197837000.0,133479000.0
