,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,9244000000.0,30740000000.0,8956553000000.0,482056000000.0,40284000000.0,9438609000000.0,54573000000.0,81431000000.0,347714000000.0,83489000000.0,49029000000.0,6641595000000.0,1472936000000.0,7910989000000.0,705000000.0,50027000000.0,93446000000.0,1560608000000.0,1133716000000.0,472812000000.0,962075000000.0,7691285000000.0
2019-03-31,9530000000.0,30740000000.0,8465280000000.0,487391000000.0,47335000000.0,8952671000000.0,54573000000.0,61327000000.0,329367000000.0,88807000000.0,72711000000.0,6164828000000.0,1432022000000.0,7600011000000.0,734000000.0,73751000000.0,95392000000.0,1499188000000.0,1183733000000.0,477861000000.0,776462000000.0,7464155000000.0
2018-03-31,9585000000.0,30746000000.0,8574405000000.0,477747000000.0,42260000000.0,9052152000000.0,54573000000.0,54234000000.0,309747000000.0,81310000000.0,82681000000.0,5989187000000.0,1511177000000.0,7644643000000.0,735000000.0,83941000000.0,91982000000.0,1571258000000.0,1390140000000.0,468162000000.0,848452000000.0,7441054000000.0
2017-03-31,10249000000.0,30743000000.0,8426127000000.0,447137000000.0,49184000000.0,8873264000000.0,54573000000.0,50047000000.0,290180000000.0,65237000000.0,71641000000.0,5689690000000.0,1253275000000.0,7485848000000.0,699000000.0,72078000000.0,92305000000.0,1312467000000.0,1768553000000.0,436888000000.0,875042000000.0,7296112000000.0
