,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus
2020-03-31,69245000000.0,761546000000.0,538975000000.0,53095000000.0,32166000000.0,1353616000000.0,79863000000.0,16226000000.0,574287000000.0,152295000000.0,89964000000.0,-115175000000.0,17785000000.0,141701000000.0,335566000000.0,17781000000.0,35186000000.0,-113015000000.0,454357000000.0,538901000000.0,183364000000.0,379766000000.0,8946000000.0,193392000000.0,273685000000.0,178636000000.0,178583000000.0,
2019-03-31,66132000000.0,707909000000.0,610543000000.0,75417000000.0,33558000000.0,1393869000000.0,79863000000.0,33515000000.0,595311000000.0,123088000000.0,91373000000.0,-67897000000.0,15593000000.0,153725000000.0,278185000000.0,15589000000.0,13089000000.0,-65536000000.0,423369000000.0,591167000000.0,206235000000.0,453038000000.0,16526000000.0,202365000000.0,306636000000.0,185036000000.0,183276000000.0,3266000000.0
2018-03-31,63238000000.0,705313000000.0,641445000000.0,79101000000.0,30442000000.0,1425859000000.0,79863000000.0,12921000000.0,629583000000.0,115341000000.0,108981000000.0,-68956000000.0,13084000000.0,187869000000.0,280261000000.0,13080000000.0,11285000000.0,-59371000000.0,412613000000.0,604135000000.0,223808000000.0,469226000000.0,10615000000.0,208644000000.0,309711000000.0,184086000000.0,185443000000.0,955000000.0
2017-03-31,60422000000.0,659432000000.0,616315000000.0,74358000000.0,29371000000.0,1350105000000.0,79863000000.0,13714000000.0,584849000000.0,99674000000.0,96606000000.0,-52194000000.0,8252000000.0,186003000000.0,260794000000.0,8249000000.0,23929000000.0,-45299000000.0,393441000000.0,573445000000.0,217939000000.0,459287000000.0,11047000000.0,193926000000.0,298964000000.0,168755000000.0,160840000000.0,3797000000.0
