,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,202000000.0,41689000000.0,20226000000.0,1561000000.0,1822000000.0,2531000000.0,66623000000.0,7053000000.0,1129000000.0,13673000000.0,12268000000.0,1602000000.0,-500000000.0,5933000000.0,960000000.0,6839000000.0,136000000.0,1530000000.0,-500000000.0,40546000000.0,4511000000.0,13829000000.0,18422000000.0,2114000000.0,20881000000.0,308000000.0,1359000000.0
2019-12-31,213000000.0,43860000000.0,17671000000.0,1876000000.0,1930000000.0,2340000000.0,65665000000.0,7480000000.0,1094000000.0,11130000000.0,13145000000.0,1602000000.0,-939000000.0,9843000000.0,108000000.0,9150000000.0,155000000.0,1517000000.0,-939000000.0,37043000000.0,3339000000.0,13625000000.0,15856000000.0,1860000000.0,19857000000.0,277000000.0,1234000000.0
2018-12-31,224000000.0,41390000000.0,14880000000.0,2110000000.0,1589000000.0,2252000000.0,60638000000.0,5540000000.0,1651000000.0,10104000000.0,12780000000.0,1602000000.0,-764000000.0,8756000000.0,102000000.0,7523000000.0,141000000.0,1647000000.0,-764000000.0,34439000000.0,3645000000.0,11972000000.0,13054000000.0,1632000000.0,19674000000.0,258000000.0,1160000000.0
2017-12-31,596000000.0,35314000000.0,12670000000.0,2470000000.0,1517000000.0,1828000000.0,50454000000.0,3149000000.0,1010000000.0,10147000000.0,12034000000.0,2397000000.0,-626000000.0,5088000000.0,288000000.0,6635000000.0,170000000.0,1478000000.0,-626000000.0,36503000000.0,3341000000.0,2529000000.0,9677000000.0,1731000000.0,15768000000.0,307000000.0,1350000000.0
