,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable
2020-03-31,19210000000.0,87388000000.0,4875057000000.0,427492000000.0,-2734000000.0,232649000000.0,5299815000000.0,100000000000.0,115807000000.0,269545000000.0,206013000000.0,-29441000000.0,3206387000000.0,464275000000.0,3700174000000.0,26960000000.0,-26144000000.0,23698000000.0,910471000000.0,1140049000000.0,408282000000.0,71011000000.0,968870000000.0,3396899000000.0
2019-03-31,18571000000.0,87377000000.0,4806339000000.0,448875000000.0,-166000000.0,201589000000.0,5255048000000.0,100000000000.0,108403000000.0,259021000000.0,213731000000.0,2477000000.0,2994630000000.0,618716000000.0,3537243000000.0,23368000000.0,5789000000.0,23641000000.0,927047000000.0,1291159000000.0,430304000000.0,,1055365000000.0,3230731000000.0
2018-03-31,16943000000.0,87345000000.0,4475559000000.0,436050000000.0,1183000000.0,157634000000.0,4912792000000.0,100000000000.0,100824000000.0,243190000000.0,238222000000.0,5515000000.0,2862319000000.0,543173000000.0,3233215000000.0,18541000000.0,8866000000.0,24628000000.0,823668000000.0,1185234000000.0,419107000000.0,,1004122000000.0,2970938000000.0
2017-03-31,13661000000.0,87315000000.0,4165664000000.0,418584000000.0,1759000000.0,226434000000.0,4586007000000.0,100000000000.0,92609000000.0,221940000000.0,159900000000.0,9329000000.0,2689311000000.0,573048000000.0,3176544000000.0,20769000000.0,12716000000.0,23257000000.0,876357000000.0,983421000000.0,404923000000.0,,829220000000.0,2853102000000.0
