,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,41402000000.0,39486000000.0,507708000000.0,454743000000.0,12354000000.0,60611000000.0,974805000000.0,42658000000.0,30162000000.0,461720000000.0,106403000000.0,23378000000.0,-89121000000.0,13449000000.0,74203000000.0,246128000000.0,13449000000.0,40389000000.0,-89044000000.0,389184000000.0,436652000000.0,70740000000.0,389963000000.0,1399000000.0,179635000000.0,155177000000.0,151253000000.0,123261000000.0
2019-12-31,43445000000.0,39486000000.0,559947000000.0,460800000000.0,14737000000.0,55163000000.0,1035484000000.0,42658000000.0,25079000000.0,444783000000.0,113511000000.0,26547000000.0,-66127000000.0,14798000000.0,60631000000.0,288847000000.0,14798000000.0,22800000000.0,-66052000000.0,420924000000.0,460054000000.0,69716000000.0,390808000000.0,1314000000.0,190261000000.0,157589000000.0,182769000000.0,127040000000.0
2018-12-31,44782000000.0,39487000000.0,529576000000.0,457927000000.0,14880000000.0,43533000000.0,1002383000000.0,42658000000.0,23352000000.0,441062000000.0,60723000000.0,32142000000.0,-65280000000.0,14136000000.0,74526000000.0,324126000000.0,14136000000.0,26803000000.0,-65211000000.0,371557000000.0,476890000000.0,62876000000.0,381003000000.0,1627000000.0,202638000000.0,142183000000.0,174747000000.0,141838000000.0
2017-12-31,49989000000.0,37865000000.0,527380000000.0,459907000000.0,30979000000.0,49144000000.0,1018266000000.0,42658000000.0,23932000000.0,428799000000.0,68650000000.0,35202000000.0,-49415000000.0,15172000000.0,64528000000.0,303299000000.0,15172000000.0,24850000000.0,-31784000000.0,379747000000.0,465973000000.0,72183000000.0,374716000000.0,9195000000.0,209308000000.0,152424000000.0,159010000000.0,136100000000.0
