,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2021-02-28,1513821000.0,17176928000.0,4364613000.0,117018000.0,21541541000.0,81586000.0,588248000.0,2887897000.0,314749000.0,-118691000.0,294811000.0,132319000.0,1698548000.0,164261000.0,452579000.0,-118691000.0,3487215000.0,4116796000.0,152900000.0,4364613000.0,239070000.0,14619919000.0,3157159000.0,799333000.0
2020-02-29,1348988000.0,17313307000.0,3768875000.0,116389000.0,21082182000.0,81541000.0,567970000.0,2488417000.0,314546000.0,-150071000.0,191888000.0,58211000.0,1534707000.0,89842000.0,433416000.0,-150071000.0,3518196000.0,3663687000.0,156700000.0,3768875000.0,191090000.0,14944056000.0,2846416000.0,737144000.0
2019-02-28,1237153000.0,15360839000.0,3357028000.0,104584000.0,18717867000.0,83739000.0,507770000.0,2104146000.0,272796000.0,-68010000.0,163609000.0,46938000.0,1311509000.0,61346000.0,395221000.0,-68010000.0,2828058000.0,3214013000.0,83700000.0,3357028000.0,139850000.0,13776534000.0,2519455000.0,593171000.0
2018-02-28,1234047000.0,14169423000.0,3316849000.0,98600000.0,17486272000.0,89874000.0,492904000.0,2047240000.0,242553000.0,-54312000.0,141163000.0,44525000.0,1174058000.0,63256000.0,355433000.0,-54312000.0,2667061000.0,3061444000.0,80900000.0,3316849000.0,133321000.0,12262443000.0,2390694000.0,529733000.0
