,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-09-27,1653000000.0,29517000000.0,6077000000.0,3002000000.0,35594000000.0,586000000.0,704000000.0,5284000000.0,5132000000.0,6323000000.0,207000000.0,3911000000.0,6707000000.0,8672000000.0,1351000000.0,207000000.0,4171000000.0,18519000000.0,1017000000.0,-1899000000.0,4507000000.0,4003000000.0,15226000000.0,2598000000.0,2248000000.0,
2019-09-29,2172000000.0,28048000000.0,4909000000.0,2894000000.0,32957000000.0,343000000.0,634000000.0,4466000000.0,5676000000.0,6282000000.0,100000000.0,3491000000.0,11839000000.0,8935000000.0,1196000000.0,100000000.0,3081000000.0,16765000000.0,1166000000.0,-3545000000.0,421000000.0,2471000000.0,13437000000.0,1400000000.0,1368000000.0,1997000000.0
2018-09-30,2955000000.0,31911000000.0,807000000.0,3978000000.0,32718000000.0,,699000000.0,542000000.0,5157000000.0,6498000000.0,265000000.0,1854000000.0,11777000000.0,11389000000.0,936000000.0,265000000.0,2975000000.0,17384000000.0,1052000000.0,-8646000000.0,311000000.0,2904000000.0,15365000000.0,1693000000.0,1825000000.0,
2017-09-24,3737000000.0,34740000000.0,30746000000.0,2454000000.0,65486000000.0,274000000.0,618000000.0,30088000000.0,4435000000.0,6623000000.0,384000000.0,6065000000.0,35029000000.0,10907000000.0,2900000000.0,384000000.0,3216000000.0,43593000000.0,2252000000.0,20386000000.0,2279000000.0,3632000000.0,19398000000.0,2035000000.0,1971000000.0,1496000000.0
