,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Other Current Assets
2020-12-31,118952000.0,5766511000.0,5928460000.0,5608024000.0,77994000.0,141567000.0,5366000.0,11614498000.0,4325000.0,324538000.0,-162812000.0,237044000.0,293188000.0,163032000.0,13015000.0,-162812000.0,9331278000.0,512436000.0,1414788000.0,5489072000.0,219248000.0,5355480000.0,146457000.0,
2019-12-31,145464000.0,5765233000.0,6051017000.0,4864872000.0,81958000.0,150330000.0,126274000.0,10997867000.0,4318000.0,346183000.0,-904679000.0,219235000.0,123947000.0,296356000.0,13084000.0,-904679000.0,9368461000.0,342636000.0,922071000.0,4719408000.0,218689000.0,5315767000.0,170082000.0,
2018-12-31,183872000.0,6117254000.0,5564365000.0,5333761000.0,100931000.0,156155000.0,130262000.0,10999100000.0,4214000.0,385328000.0,-787707000.0,424230000.0,143581000.0,305165000.0,13375000.0,-787707000.0,9273599000.0,345309000.0,772090000.0,5149889000.0,184528000.0,4873872000.0,174903000.0,17200000.0
2017-12-31,278343000.0,6152764000.0,6225436000.0,5394203000.0,144046000.0,155472000.0,128892000.0,11763726000.0,4256000.0,431915000.0,-762817000.0,420017000.0,238513000.0,314594000.0,15175000.0,-762817000.0,9899986000.0,450670000.0,714710000.0,5115860000.0,189757000.0,5478927000.0,185702000.0,22400000.0
