,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt
2021-03-31,5618000000.0,9799000000.0,882578000000.0,79213000000.0,588243000000.0,961791000000.0,11945000000.0,8365000000.0,57205000000.0,3135000000.0,264000000.0,1847000000.0,56952000000.0,879393000000.0,1011000000.0,2007000000.0,1608000000.0,949220000000.0,3498000000.0,73595000000.0,600153000000.0,281605000000.0,50000000.0,58206000000.0,
2020-03-31,4410000000.0,9797000000.0,628029000000.0,80285000000.0,484293000000.0,708314000000.0,11945000000.0,7089000000.0,57841000000.0,3251000000.0,702000000.0,1341000000.0,52501000000.0,624628000000.0,623000000.0,2496000000.0,1410000000.0,697271000000.0,3882000000.0,75875000000.0,477792000000.0,158012000000.0,150000000.0,45084000000.0,
2019-03-31,4514000000.0,9796000000.0,599414000000.0,96579000000.0,442975000000.0,695993000000.0,11945000000.0,6880000000.0,74178000000.0,3226000000.0,660000000.0,1231000000.0,36120000000.0,596188000000.0,564000000.0,2516000000.0,1255000000.0,685275000000.0,3718000000.0,92065000000.0,442482000000.0,198533000000.0,,46072000000.0,
2012-03-31,4019000000.0,9793000000.0,344902000000.0,76161000000.0,277900000000.0,421063000000.0,11945000000.0,14578000000.0,63900000000.0,1274000000.0,-9477000000.0,1975000000.0,16479000000.0,343603000000.0,1238000000.0,-2000000.0,1046000000.0,413807000000.0,216000000.0,72142000000.0,251524000000.0,129539000000.0,25000000.0,2282000000.0,50000000.0
