,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments
2020-03-31,38820000000.0,21337000000.0,319465000000.0,162604000000.0,39294000000.0,36863000000.0,521363000000.0,17489000000.0,19798000000.0,123451000000.0,25720000000.0,327000000.0,8750000000.0,71958000000.0,64327000000.0,8748000000.0,3575000000.0,335551000000.0,114248000000.0,23994000000.0,123784000000.0,8906000000.0,227016000000.0,13586000000.0,3261000000.0,,
2019-03-31,39637000000.0,21337000000.0,283265000000.0,163399000000.0,37990000000.0,14842000000.0,484654000000.0,17489000000.0,7307000000.0,122012000000.0,27459000000.0,2561000000.0,6984000000.0,87458000000.0,67894000000.0,6981000000.0,5807000000.0,292393000000.0,123817000000.0,21823000000.0,123762000000.0,17943000000.0,187503000000.0,11109000000.0,9774000000.0,15013000000.0,
2018-03-31,1889000000.0,21337000000.0,103344000000.0,133362000000.0,2793000000.0,8948000000.0,239499000000.0,17489000000.0,4546000000.0,92826000000.0,6875000000.0,1710000000.0,11314000000.0,42487000000.0,37685000000.0,4648000000.0,4955000000.0,117987000000.0,73235000000.0,35074000000.0,131473000000.0,19529000000.0,58280000000.0,6673000000.0,9707000000.0,,
2017-03-31,1812000000.0,21337000000.0,87589000000.0,122811000000.0,2626000000.0,7860000000.0,213026000000.0,17489000000.0,3482000000.0,84054000000.0,7920000000.0,-69000000.0,11666000000.0,32240000000.0,35596000000.0,4999000000.0,3175000000.0,100690000000.0,67555000000.0,31303000000.0,120999000000.0,16968000000.0,43546000000.0,7865000000.0,8695000000.0,,7000000000.0
