,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Intangible Assets,Good Will,Deferred Long Term Liab
2020-12-31,22290000000.0,236450000000.0,30690000000.0,121000000.0,21619000000.0,267261000000.0,41000000.0,1998000000.0,18243000000.0,26793000000.0,-9884000000.0,21716000000.0,10894000000.0,97192000000.0,12423000000.0,715000000.0,-8294000000.0,38168000000.0,116744000000.0,4778000000.0,30690000000.0,19858000000.0,3422000000.0,22265000000.0,10808000000.0,21125000000.0,,,
2019-12-31,22165000000.0,225307000000.0,33185000000.0,45000000.0,19599000000.0,258537000000.0,41000000.0,5471000000.0,20320000000.0,24767000000.0,-9341000000.0,19348000000.0,8437000000.0,98132000000.0,11863000000.0,1168000000.0,-7728000000.0,39496000000.0,114047000000.0,3719000000.0,32719000000.0,13851000000.0,9237000000.0,13618000000.0,10786000000.0,20673000000.0,188000000.0,278000000.0,
2018-12-31,22006000000.0,220474000000.0,35932000000.0,134000000.0,17270000000.0,256540000000.0,41000000.0,3930000000.0,22668000000.0,24185000000.0,-8783000000.0,17245000000.0,7111000000.0,95569000000.0,10412000000.0,1700000000.0,-7366000000.0,37883000000.0,114649000000.0,2959000000.0,35490000000.0,15925000000.0,11195000000.0,11833000000.0,11220000000.0,21520000000.0,178000000.0,264000000.0,247000000.0
2017-12-31,21843000000.0,222792000000.0,35578000000.0,126000000.0,16402000000.0,258496000000.0,41000000.0,3649000000.0,21906000000.0,25526000000.0,-8212000000.0,18091000000.0,8934000000.0,94600000000.0,10762000000.0,1960000000.0,-6959000000.0,36901000000.0,116801000000.0,3448000000.0,35290000000.0,17554000000.0,10599000000.0,13174000000.0,11176000000.0,23282000000.0,213000000.0,75000000.0,232000000.0
