,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Intangible Assets,Good Will,Deferred Long Term Asset Charges
2021-03-31,696122000000.0,39760029000000.0,2694938000000.0,61513000000.0,9473261000000.0,42516480000000.0,594493000000.0,281422000000.0,1533713000000.0,2581631000000.0,-129390000000.0,1049432000000.0,3509754000000.0,28810871000000.0,-38144000000.0,464449000000.0,40020974000000.0,981625000000.0,2694938000000.0,16412997000000.0,4142447000000.0,8367527000000.0,3228454000000.0,,,
2020-03-31,683232000000.0,41268551000000.0,2653467000000.0,77797000000.0,6753646000000.0,43999815000000.0,594493000000.0,5658275000000.0,1645451000000.0,1705519000000.0,-269709000000.0,651122000000.0,3191889000000.0,30918766000000.0,-26105000000.0,440512000000.0,41769057000000.0,1121341000000.0,2635684000000.0,16280798000000.0,5116913000000.0,8493376000000.0,3120929000000.0,17311000000.0,472000000.0,13431000000.0
2019-03-31,687761000000.0,38288646000000.0,2631061000000.0,49732000000.0,7416709000000.0,40969439000000.0,594493000000.0,5504657000000.0,1486825000000.0,1838180000000.0,-138018000000.0,538740000000.0,2686659000000.0,28116392000000.0,-29050000000.0,349365000000.0,38821122000000.0,1240420000000.0,2611269000000.0,17592416000000.0,3882038000000.0,8334074000000.0,2375419000000.0,19318000000.0,474000000.0,15026000000.0
2018-03-31,675280000000.0,37544123000000.0,2749320000000.0,50504000000.0,7503117000000.0,40343947000000.0,594493000000.0,5816557000000.0,1696890000000.0,1619272000000.0,-217343000000.0,601299000000.0,2354639000000.0,28128723000000.0,-59356000000.0,338984000000.0,38049239000000.0,1254970000000.0,2649865000000.0,16526705000000.0,3875199000000.0,7796128000000.0,2416313000000.0,20932000000.0,78523000000.0,16135000000.0
