,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Intangible Assets,Capital Surplus,Deferred Long Term Asset Charges
2021-03-31,1395136000000.0,1003538000000.0,2759000000.0,25843000000.0,2401433000000.0,32641000000.0,68748000000.0,1070422000000.0,198554000000.0,165096000000.0,-99525000000.0,131969000000.0,380387000000.0,1011476000000.0,135125000000.0,-82733000000.0,826696000000.0,1233385000000.0,44287000000.0,838442000000.0,65942000000.0,429454000000.0,155273000000.0,288854000000.0,324373000000.0,,,
2020-03-31,1094815000000.0,843957000000.0,4607000000.0,111380000000.0,1943379000000.0,32641000000.0,45419000000.0,1016394000000.0,207025000000.0,160945000000.0,-206861000000.0,34862000000.0,332717000000.0,718905000000.0,68028000000.0,-190055000000.0,650365000000.0,966482000000.0,50977000000.0,603264000000.0,32550000000.0,319343000000.0,140061000000.0,236453000000.0,201825000000.0,79748000000.0,1783000000.0,34862000000.0
2019-03-31,1108724000000.0,877290000000.0,6466000000.0,94998000000.0,1992480000000.0,32641000000.0,50927000000.0,980085000000.0,186722000000.0,164794000000.0,-141394000000.0,35238000000.0,289175000000.0,714320000000.0,91276000000.0,-124435000000.0,603110000000.0,922485000000.0,178160000000.0,623803000000.0,40562000000.0,314929000000.0,207682000000.0,226892000000.0,189892000000.0,88693000000.0,5958000000.0,35238000000.0
2018-03-31,1073977000000.0,824634000000.0,6598000000.0,97065000000.0,1905209000000.0,32641000000.0,59029000000.0,919929000000.0,177060000000.0,157858000000.0,-136674000000.0,31131000000.0,279624000000.0,603037000000.0,64566000000.0,-119492000000.0,545641000000.0,899936000000.0,185112000000.0,581245000000.0,43667000000.0,310084000000.0,293880000000.0,207532000000.0,226791000000.0,85531000000.0,8738000000.0,31131000000.0
