,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,29635000000.0,60233000000.0,559681000000.0,436679000000.0,36563000000.0,86070000000.0,1032923000000.0,86174000000.0,14037000000.0,326086000000.0,94582000000.0,179000000.0,-35814000000.0,22999000000.0,51641000000.0,313771000000.0,21118000000.0,-19716000000.0,544553000000.0,318502000000.0,117055000000.0,406865000000.0,174542000000.0,133332000000.0,78282000000.0,88760000000.0,
2019-03-31,30554000000.0,60408000000.0,583783000000.0,414710000000.0,35935000000.0,88972000000.0,1034428000000.0,86174000000.0,11718000000.0,294265000000.0,86544000000.0,321000000.0,-26137000000.0,18864000000.0,56561000000.0,349390000000.0,17109000000.0,-10056000000.0,520939000000.0,341307000000.0,122443000000.0,383835000000.0,196308000000.0,130233000000.0,76720000000.0,104991000000.0,10000000000.0
2018-03-31,32261000000.0,60339000000.0,589815000000.0,395269000000.0,37058000000.0,90530000000.0,1022142000000.0,86174000000.0,17883000000.0,260016000000.0,90031000000.0,777000000.0,-11260000000.0,15136000000.0,53766000000.0,360550000000.0,12194000000.0,-313000000.0,505438000000.0,340595000000.0,127935000000.0,362231000000.0,195609000000.0,120390000000.0,73337000000.0,95783000000.0,15035000000.0
2017-03-31,34251000000.0,59548000000.0,615381000000.0,361819000000.0,38215000000.0,77944000000.0,1015415000000.0,86174000000.0,21697000000.0,228914000000.0,89805000000.0,3409000000.0,-12817000000.0,22295000000.0,60516000000.0,308910000000.0,19056000000.0,-1906000000.0,497151000000.0,332895000000.0,125414000000.0,324159000000.0,174717000000.0,195381000000.0,75965000000.0,79676000000.0,11120000000.0
